,belongs_to_collection,revenue
2858,Omega Code Series,2400000
2859,{},0
2860,{},0
2861,{},42365581
2862,{},0
2863,{},0
2864,{},37823676
2865,{},0
2866,{},18254702
2867,Bats Collection,10
2868,The Best Man Collection,34573780
2869,{},0
2870,{},0
2871,{},0
2872,{},239894
2873,{},2303
2874,{},0
2875,{},17037887
2876,Harry Palmer Collection,0
2877,On Any Sunday Collection,0
2878,RoboCop Collection,53000000
2879,RoboCop Collection,45681173
2880,{},329803958
2881,{},0
2882,James Bond Collection,195312802
2883,James Bond Collection,156167015
2884,James Bond Collection,161777836
2885,{},0
2886,James Bond Collection,141195658
2887,{},0
2888,House on Haunted Hill Collection,40846082
2889,{},14859394
2890,{},22863596
2891,{},7
2892,{},33031
2893,{},159375308
2894,{},0
2895,{},0
2896,{},0
2897,{},36911617
2898,{},151493655
2899,{},60289912
2900,{},0
2901,{},0
2902,{},0
2903,{},266665
2904,{},0
2905,{},0
2906,Re-Animator Collection,0
2907,{},0
2908,{},0
2909,Creepshow Collection,21028755
2910,Creepshow Collection,14000000
2911,Re-Animator Collection,2023414
2912,{},4729352
2913,{},40903593
2914,{},0
2915,{},0
2916,{},1027757
2917,Piranha Collection,0
2918,{},0
2919,{},0
2920,{},0
2921,{},19905359
2922,{},0
2923,{},1382462
2924,{},0
2925,{},38119483
2926,{},32056467
2927,Mister Roberts Collection,0
2928,{},55260558
2929,{},31559552
2930,{},0
2931,{},90400000
2932,Meatballs Collection,0
2933,Meatballs Collection,0
2934,Meatballs Collection,0
2935,Meatballs Collection,0
2936,{},38016380
2937,{},0
2938,{},0
2939,{},822
2940,{},2297493
2941,{},0
2942,{},0
2943,{},18653615
2944,{},30652890
2945,{},66976317
2946,Pokémon Collection,163644662
2947,{},0
2948,{},0
2949,{},0
2950,{},0
2951,{},0
2952,Barrytown Trilogy,0
2953,{},0
2954,{},50100000
2955,Poison Ivy Collection,0
2956,Poison Ivy Collection,0
2957,{},0
2958,{},29548291
2959,{},7179298
2960,{},53977250
2961,{},0
2962,{},0
2963,{},13994920
2964,{},80640528
2965,{},0
2966,{},0
2967,{},0
2968,{},0
2969,The Up Series,0
2970,{},0
2971,{},0
2972,{},0
2973,{},206071502
2974,James Bond Collection,361832400
2975,{},67872296
2976,{},0
2977,{},0
2978,{},0
2979,{},60328000
2980,{},0
2981,{},361712
2982,{},1680358
2983,{},0
2984,{},0
2985,{},0
2986,{},0
2987,{},0
2988,{},0
2989,{},0
2990,{},47951979
2991,{},0
2992,{},43440294
2993,{},320145693
2994,{},0
2995,{},5820015
2996,{},38413606
2997,{},52096475
2998,{},0
2999,{},152368585
3000,{},41895491
3001,{},11500000
3002,{},0
3003,{},0
3004,{},442000
3005,{},211989043
3006,Toy Story Collection,497366869
3007,{},4488529
3008,{},0
3009,{},635096
3010,{},1281176
3011,{},0
3012,{},46434570
3013,{},0
3014,{},0
3015,{},0
3016,{},0
3017,{},10827816
3018,{},0
3019,{},0
3020,{},0
3021,{},0
3022,{},15691192
3023,{},0
3024,{},0
3025,{},0
3026,{},0
3027,{},0
3028,{},0
3029,{},0
3030,{},7467504
3031,{},0
3032,{},0
3033,The Jake Gittes Collection,10000000
3034,{},0
3035,{},0
3036,{},0
3037,{},0
3038,Deuce Bigalow Collection,65535067
3039,{},284600000
3040,{},88545092
3041,{},0
3042,{},0
3043,{},0
3044,The Last Picture Show Collection,29133000
3045,The Sinbad Collection,0
3046,{},0
3047,{},0
3048,{},93700000
3049,Stuart Little Collection,300135367
3050,{},0
3051,Fantasia Collection,90874570
3052,{},48451803
3053,{},206128
3054,{},929606
3055,{},0
3056,{},0
3057,{},0
3058,{},0
3059,{},28623900
3060,{},0
3061,{},0
3062,{},0
3063,{},0
3064,{},0
3065,{},100230832
3066,{},47434430
3067,{},90683916
3068,{},128798265
3069,Friday Collection,59827328
3070,{},73956241
3071,{},13
3072,{},8434146
3073,{},0
3074,{},507941
3075,{},0
3076,{},0
3077,{},0
3078,{},0
3079,{},0
3080,{},0
3081,{},0
3082,{},14828081
3083,{},0
3084,{},140021
3085,{},45000000
3086,{},0
3087,{},0
3088,{},20324096
3089,{},53267000
3090,{},0
3091,{},0
3092,{},0
3093,{},0
3094,{},7825000
3095,{},0
3096,{},0
3097,{},0
3098,{},0
3099,{},0
3100,{},0
3101,{},27092880
3102,{},6908797
3103,{},0
3104,Batman (DC Universe Animated) Collection,5617391
3105,{},1400000
3106,{},0
3107,{},0
3108,{},0
3109,{},609524
3110,{},29381956
3111,{},0
3112,{},0
3113,{},0
3114,{},0
3115,{},0
3116,{},0
3117,{},0
3118,{},0
3119,{},0
3120,{},0
3121,{},0
3122,{},0
3123,{},0
3124,{},0
3125,{},0
3126,{},6659377
3127,{},0
3128,{},0
3129,{},0
3130,{},3003296
3131,{},0
3132,{},0
3133,{},0
3134,{},40693477
3135,{},102000000
3136,{},0
3137,{},48169908
3138,Sister Act Collection,231605150
3139,Sister Act Collection,57319029
3140,{},88036683
3141,{},36733909
3142,{},0
3143,{},134095253
3144,Wayne's World Collection,121697323
3145,Wayne's World Collection,47965000
3146,{},107458785
3147,The Jack Ryan Collection,178051587
3148,{},411006740
3149,{},149022650
3150,{},137783840
3151,{},25966555
3152,{},18472850
3153,{},4160851
3154,{},90753806
3155,{},16624456
3156,{},0
3157,{},0
3158,Mexico Trilogy,2040920
3159,{},70611210
3160,{},128000000
3161,The Cutting Edge Collection,25105517
3162,{},5471088
3163,{},2019469
3164,Scream Collection,161834276
3165,Single White Female Collection,48017402
3166,The Boondock Saints Collection,30471
3167,{},1631839
3168,{},0
3169,{},0
3170,{},0
3171,{},0
3172,{},0
3173,{},0
3174,{},0
3175,{},0
3176,{},144056873
3177,{},0
3178,{},45554533
3179,{},0
3180,{},0
3181,{},0
3182,{},1160268
3183,{},0
3184,{},0
3185,{},0
3186,{},0
3187,"To Sir, with Love Collection",0
3188,{},0
3189,{},28780255
3190,{},36037909
3191,The Chronicles of Riddick Collection,53187659
3192,The Whole Nine/Ten Yards Collection,106371651
3193,{},0
3194,{},0
3195,{},6521083
3196,{},0
3197,{},0
3198,{},19181
3199,{},0
3200,{},0
3201,{},2500000
3202,{},0
3203,{},0
3204,{},0
3205,{},0
3206,{},0
3207,{},32168970
3208,{},0
3209,{},0
3210,{},0
3211,{},0
3212,{},0
3213,{},9000000
3214,{},0
3215,{},15427192
3216,{},24362772
3217,{},0
3218,{},500000
3219,{},0
3220,{},0
3221,{},0
3222,{},22587000
3223,{},0
3224,{},0
3225,{},0
3226,{},0
3227,{},0
3228,{},0
3229,{},770132
3230,Cross of Iron Collection,0
3231,{},0
3232,{},0
3233,{},1400000
3234,{},0
3235,{},4000000
3236,{},0
3237,{},0
3238,{},0
3239,{},0
3240,{},0
3241,{},0
3242,{},0
3243,{},0
3244,{},0
3245,{},60874615
3246,{},58401898
3247,{},0
3248,{},0
3249,{},0
3250,{},20000000
3251,{},28607524
3252,{},50888000
3253,{},46665856
3254,American Graffiti Collection,140000000
3255,{},0
3256,{},0
3257,{},0
3258,{},0
3259,{},0
3260,{},0
3261,{},0
3262,{},0
3263,{},0
3264,{},0
3265,{},0
3266,{},0
3267,{},0
3268,{},0
3269,{},0
3270,{},0
3271,{},0
3272,{},0
3273,{},0
3274,{},0
3275,{},0
3276,{},205405498
3277,{},0
3278,{},49998613
3279,{},0
3280,{},0
3281,{},7305209
3282,{},0
3283,{},0
3284,{},39321715
3285,{},5669831
3286,The Muppet Collection,76657000
3287,{},0
3288,The Muppet Collection,0
3289,{},0
3290,{},9317021
3291,{},0
3292,{},0
3293,{},0
3294,{},4905000
3295,{},0
3296,{},0
3297,{},0
3298,{},256271286
3299,Final Destination Collection,53302314
3300,{},0
3301,{},0
3302,{},138241022
3303,{},0
3304,{},0
3305,{},0
3306,{},0
3307,{},45361000
3308,{},0
3309,{},33300000
3310,{},141000000
3311,{},0
3312,{},0
3313,{},37295445
3314,{},16153593
3315,{},32482682
3316,{},3110000
3317,{},0
3318,{},0
3319,Death Wish Collection,22000000
3320,Death Wish Collection,45000000
3321,Death Wish Collection,16945171
3322,Death Wish Collection,0
3323,Death Wish Collection,1702394
3324,{},2500000
3325,{},0
3326,{},1193062
3327,Teenage Mutant Ninja Turtles (Original) Collection,202000000
3328,Teenage Mutant Ninja Turtles (Original) Collection,78000000
3329,Teenage Mutant Ninja Turtles (Original) Collection,42000000
3330,{},38376497
3331,{},4865912
3332,{},0
3333,Bloodsport Collection,11806119
3334,{},20000000
3335,{},0
3336,{},0
3337,{},123922370
3338,{},0
3339,Grumpy Old Men Collection,0
3340,{},56666667
3341,{},91036760
3342,{},0
3343,{},9902115
3344,{},0
3345,{},0
3346,{},327418
3347,{},0
3348,{},0
3349,{},0
3350,{},0
3351,{},8500000
3352,{},0
3353,{},0
3354,{},0
3355,{},16589540
3356,{},10000000
3357,The Hustler Collection,7600000
3358,{},0
3359,{},0
3360,{},303788635
3361,{},0
3362,{},0
3363,{},0
3364,{},0
3365,{},25965144
3366,{},0
3367,{},54215416
3368,{},18432000
3369,{},8200000
3370,{},47126295
3371,{},76432727
3372,The Skulls Collection,35007180
3373,{},0
3374,{},0
3375,{},6000000
3376,{},0
3377,{},300854823
3378,{},0
3379,{},0
3380,{},0
3381,{},0
3382,{},14250000
3383,{},157645
3384,{},0
3385,{},0
3386,{},35000000
3387,{},61276872
3388,{},13300000
3389,{},30867525
3390,{},27484464
3391,{},0
3392,{},23689877
3393,{},35509515
3394,{},26079312
3395,The Odd Couple Collection,44527234
3396,{},31800000
3397,{},5241315
3398,{},68106245
3399,{},12372410
3400,{},36609995
3401,{},71000000
3402,{},0
3403,{},369975
3404,{},0
3405,{},0
3406,{},0
3407,Navarone Collection,7230000
3408,Beach Party Collection,0
3409,{},0
3410,{},0
3411,{},0
3412,Arthur Collection,95461682
3413,Bachelor Party Collection,38435947
3414,{},126297830
3415,Predator Collection,98235548
3416,{},74787599
3417,{},0
3418,{},0
3419,{},0
3420,{},0
3421,{},0
3422,American Psycho Collection,34266564
3423,{},37036004
3424,{},0
3425,East is East Collection,28200000
3426,{},0
3427,{},0
3428,{},40717
3429,{},0
3430,{},0
3431,{},0
3432,{},0
3433,{},0
3434,{},0
3435,{},0
3436,{},0
3437,{},5979292
3438,{},21709020
3439,Caddyshack Collection,39846344
3440,{},5108820
3441,{},27728118
3442,{},127666415
3443,{},10409377
3444,{},11390479
3445,{},0
3446,{},0
3447,{},0
3448,{},0
3449,{},0
3450,The Crow Collection,0
3451,The Flintstones (Live-Action) Collection,59468275
3452,{},33771174
3453,{},3728888
3454,{},0
3455,{},0
3456,Heart of Gold Collection,7235
3457,{},0
3458,{},0
3459,Carnosaur Collection,1753979
3460,Carnosaur Collection,0
3461,Carnosaur Collection,0
3462,{},0
3463,Hidden Collection,0
3464,{},1547397
3465,{},457640427
3466,{},0
3467,{},0
3468,{},4000000
3469,{},0
3470,{},19910002
3471,{},0
3472,{},0
3473,The Three Mothers Collection,0
3474,{},0
3475,Die Nibelungen Filmreihe,0
3476,{},4000000
3477,{},64783827
3478,{},0
3479,{},21400000
3480,Center Stage Collection,17200925
3481,{},0
3482,{},0
3483,{},0
3484,{},1568749
3485,{},0
3486,{},0
3487,{},0
3488,{},0
3489,{},0
3490,{},0
3491,{},0
3492,{},0
3493,{},0
3494,Pee-wee's Collection,40940662
3495,{},0
3496,{},3000000
3497,Caballeros Collection,0
3498,{},0
3499,{},0
3500,{},0
3501,{},354248063
3502,{},0
3503,Road Trip Collection,119754278
3504,{},0
3505,{},10000000
3506,{},458815
3507,{},0
3508,{},0
3509,Mission: Impossible Collection,546388105
3510,Shanghai Noon Collection,56932305
3511,{},0
3512,{},0
3513,{},0
3514,{},0
3515,{},2500000
3516,{},0
3517,{},0
3518,{},0
3519,James Bond Collection,81974493
3520,{},0
3521,James Bond Collection,185438673
3522,{},0
3523,{},0
3524,James Bond Collection,210308099
3525,James Bond Collection,97572000
3526,{},0
3527,{},0
3528,{},0
3529,{},0
3530,{},0
3531,{},0
3532,Big Momma's House Collection,173959438
3533,{},0
3534,{},0
3535,{},22743674
3536,{},0
3537,{},0
3538,{},0
3539,The Endless Summer Collection,0
3540,Navarone Collection,28900000
3541,{},0
3542,{},0
3543,{},0
3544,Quatermass (Hammer series),0
3545,Quatermass (Hammer series),0
3546,Puppet Master Collection,0
3547,Puppet Master Collection,0
3548,Puppet Master Collection,0
3549,Puppet Master Collection,0
3550,Puppet Master Collection,0
3551,Puppet Master Collection,0
3552,Puppet Master Collection,0
3553,{},0
3554,{},38901218
3555,{},10736401
3556,{},0
3557,{},119500000
3558,The Benji Collection,0
3559,The Benji Collection,0
3560,The Benji Collection,0
3561,{},0
3562,{},7000000
3563,{},0
3564,{},0
3565,The Decline of Western Civilization Collection,0
3566,The Decline of Western Civilization Collection,0
3567,The Man With No Name Collection,15000000
3568,Dirty Harry Collection,39768000
3569,{},0
3570,{},0
3571,{},26657534
3572,{},61489265
3573,{},0
3574,Porky's Collection,125728258
3575,Porky's Collection,33759266
3576,Porky's Collection,20518905
3577,{},0
3578,Nuke 'Em High Collection,0
3579,The Toxic Avenger Collection,0
3580,The Toxic Avenger Collection,0
3581,The Toxic Avenger Collection,0
3582,{},0
3583,Predator Collection,57120318
3584,{},38122105
3585,{},28744356
3586,{},0
3587,Alien Nation Collection,32155047
3588,Mad Max Collection,100000000
3589,Mad Max Collection,24600832
3590,Mad Max Collection,36230219
3591,{},0
3592,{},17185632
3593,9½ Weeks Collection,6735922
3594,Firestarter Collection,17080167
3595,{},30524763
3596,{},20256975
3597,{},0
3598,{},36489888
3599,{},0
3600,{},0
3601,{},0
3602,{},0
3603,{},237202299
3604,{},0
3605,{},299792
3606,{},0
3607,{},0
3608,{},0
3609,{},20710451
3610,{},0
3611,{},6000000
3612,{},0
3613,{},0
3614,{},1543112
3615,Shaft Collection,12121618
3616,{},4420000
3617,{},0
3618,{},24000000
3619,{},0
3620,{},0
3621,{},29800000
3622,{},1300000
3623,{},0
3624,{},12800000
3625,{},0
3626,{},11000000
3627,{},0
3628,{},45100
3629,{},20627372
3630,Shaft Collection,107196498
3631,{},36754634
3632,{},6000000
3633,{},0
3634,{},0
3635,{},0
3636,{},224834564
3637,{},149270999
3638,{},215294342
3639,{},35134820
3640,{},325756637
3641,{},0
3642,{},0
3643,{},1919653
3644,{},0
3645,{},0
3646,{},0
3647,{},0
3648,F/X Collection,20603715
3649,F/X Collection,0
3650,{},1293976
3651,Missing in Action Collection,22812411
3652,Missing in Action Collection,10755447
3653,Missing in Action Collection,6193901
3654,{},21700000
3655,{},12145169
3656,The Sinbad Collection,11000000
3657,{},0
3658,House Party Collection,26386000
3659,House Party Collection,0
3660,{},0
3661,{},0
3662,Nekromantik Collection,0
3663,{},0
3664,{},0
3665,{},0
3666,Shaft Collection,1458000
3667,Shaft Collection,10000000
3668,{},0
3669,{},69700000
3670,Scary Movie Collection,278019771
3671,{},2600000
3672,{},0
3673,{},0
3674,{},0
3675,{},0
3676,{},80035402
3677,{},20400000
3678,X-Men Collection,296339527
3679,{},0
3680,{},0
3681,{},0
3682,{},5217498
3683,{},155464351
3684,Pokémon Collection,133949270
3685,{},0
3686,{},0
3687,{},0
3688,{},0
3689,{},0
3690,{},0
3691,{},0
3692,The Sinbad Collection,16000000
3693,{},0
3694,{},63710000
3695,{},0
3696,{},0
3697,{},18016290
3698,{},0
3699,{},20173742
3700,{},0
3701,{},0
3702,{},0
3703,{},0
3704,{},0
3705,The Nutty Professor Collection,123307945
3706,{},0
3707,{},0
3708,{},0
3709,{},113916474
3710,Hollow Man Collection,190213455
3711,{},128884132
3712,{},0
3713,{},0
3714,{},0
3715,{},26330482
3716,{},0
3717,{},0
3718,{},0
3719,{},13609396
3720,{},5200000
3721,Phantasm Collection,7282851
3722,Phantasm Collection,0
3723,Phantasm Collection,0
3724,Pumpkinhead Collection,4385516
3725,{},33461269
3726,Sleepaway Camp Collection,0
3727,{},95904091
3728,{},0
3729,{},0
3730,"Ilsa, She Wolf of the SS Collection",0
3731,{},3180674
3732,{},0
3733,{},0
3734,{},0
3735,{},0
3736,{},0
3737,{},0
3738,{},0
3739,{},11532
3740,{},0
3741,{},0
3742,{},0
3743,{},0
3744,{},0
3745,{},151559
3746,The Cell Collection,104155843
3747,Godzilla (Millennium) Collection,10037390
3748,{},0
3749,{},0
3750,{},0
3751,Naked Gun Collection,78756177
3752,Naked Gun Collection,86930411
3753,{},0
3754,{},20000000
3755,{},0
3756,{},20666667
3757,{},0
3758,{},0
3759,{},0
3760,{},14296438
3761,{},0
3762,The Art of War Collection,30199105
3763,{},0
3764,{},0
3765,Bring It On Collection,90449929
3766,{},0
3767,{},0
3768,{},0
3769,{},0
3770,{},0
3771,{},0
3772,Highlander Collection,15843608
3773,{},0
3774,{},0
3775,Anatomy Collection,0
3776,{},0
3777,{},0
3778,{},0
3779,{},19125401
3780,{},47383689
3781,{},0
3782,{},0
3783,{},26394
3784,{},0
3785,{},0
3786,{},0
3787,{},170832
3788,{},0
3789,{},260562
3790,{},0
3791,Urban Legend,38574362
3792,{},0
3793,Heart of Gold Collection,40031879
3794,{},0
3795,{},0
3796,{},0
3797,{},1744858
3798,{},0
3799,{},136706683
3800,Hellraiser Collection,14564027
3801,Hellraiser Collection,12090735
3802,Hellraiser Collection,12534961
3803,{},810455
3804,Beach Party Collection,0
3805,Beach Party Collection,0
3806,The Fly (1958 series),0
3807,Beach Party Collection,0
3808,{},0
3809,{},7000000
3810,{},12000000
3811,{},0
3812,{},0
3813,Creature From The Black Lagoon (Universal Series),1300000
3814,{},0
3815,The Invisible Man (Universal Series),0
3816,{},0
3817,{},0
3818,{},0
3819,{},0
3820,The Slumber Party Massacre Collection,0
3821,The Slumber Party Massacre Collection,0
3822,The Slumber Party Massacre Collection,0
3823,The Sorority House Massacre Collection,0
3824,The Sorority House Massacre Collection,0
3825,{},0
3826,{},0
3827,Digimon Collection,0
3828,{},19412993
3829,{},0
3830,Meet the Parents Collection,330444045
3831,{},7390108
3832,{},0
3833,{},0
3834,{},0
3835,{},0
3836,{},0
3837,{},13700000
3838,{},0
3839,Billy Jack Collection,0
3840,Billy Jack Collection,0
3841,{},0
3842,{},0
3843,Ghoulies Collection,35000000
3844,Ghoulies Collection,0
3845,{},0
3846,{},0
3847,{},0
3848,{},0
3849,{},110000000
3850,{},90383208
3851,{},55707411
3852,{},0
3853,{},0
3854,Drunken Master Collection,0
3855,Blair Witch Collection,0
3856,{},13555988
3857,{},0
3858,{},0
3859,Charlie's Angels Collection,264105545
3860,{},39459427
3861,{},0
3862,{},48814909
3863,{},33463969
3864,{},0
3865,{},0
3866,James Bond Collection,116019547
3867,{},0
3868,{},96085477
3869,{},36779296
3870,{},345141403
3871,{},0
3872,Rugrats Collection,103
3873,101 Dalmatians (Live-Action) Collection,183611771
3874,{},0
3875,{},7060876
3876,{},248118121
3877,{},0
3878,"Crouching Tiger, Hidden Dragon Collection",213525736
3879,Dungeons & Dragons Collection,15185241
3880,{},0
3881,{},215663859
3882,{},8613462
3883,{},20345361
3884,{},49230280
3885,{},0
3886,{},0
3887,James Bond Collection,191185897
3888,{},5849647
3889,Wall Street Collection,43848069
3890,{},161001698
3891,{},3468572
3892,{},45833132
3893,{},83557872
3894,{},21032267
3895,{},0
3896,{},152500343
3897,{},73180723
3898,The Emperor's New Groove Collection,169327687
3899,{},8
3900,{},374111707
3901,{},80049764
3902,{},12008642
3903,{},8524534
3904,{},429632142
3905,{},0
3906,{},5164404
3907,Miss Congeniality Collection,212000000
3908,{},0
3909,{},71868327
3910,{},0
3911,{},0
3912,Dracula 2000 Collection,33000337
3913,{},0
3914,{},0
3915,{},34566746
3916,{},207515725
3917,{},0
3918,{},8279017
3919,{},2585639
3920,{},0
3921,Annie Collection,57059003
3922,{},25196249
3923,{},129795554
3924,{},7900000
3925,{},2347000
3926,{},0
3927,{},0
3928,{},0
3929,{},25000000
3930,{},0
3931,{},0
3932,{},0
3933,{},18195610
3934,{},0
3935,Save The Last Dance Collection,91038276
3936,{},779137
3937,{},29400000
3938,{},0
3939,{},0
3940,{},0
3941,{},0
3942,{},2853801
3943,{},0
3944,{},22697691
3945,{},0
3946,{},0
3947,{},0
3948,{},18899204
3949,{},13276953
3950,{},94728529
3951,{},0
3952,{},0
3953,{},0
3954,{},0
3955,{},0
3956,{},0
3957,{},0
3958,{},3818452
3959,{},0
3960,{},0
3961,{},0
3962,{},0
3963,{},3221568
3964,{},4278150
3965,Beverly Hills Cop Collection,299965036
3966,Beverly Hills Cop Collection,316360478
3967,{},0
3968,{},0
3969,{},1700000
3970,{},0
3971,The Brave Little Toaster Collection,0
3972,{},31623833
3973,{},14000
3974,{},0
3975,{},0
3976,{},0
3977,{},0
3978,{},2413427
3979,{},0
3980,{},0
3981,{},10348437
3982,{},0
3983,{},50504655
3984,{},22238696
3985,Ernest Collection,23509382
3986,Evil Dead Collection,29400000
3987,{},0
3988,{},0
3989,{},0
3990,{},0
3991,{},0
3992,{},5262047
3993,{},0
3994,{},0
3995,{},183700
3996,{},0
3997,{},0
3998,{},0
3999,{},4215859
4000,{},1083282
4001,{},1749956
4002,{},25893810
4003,{},0
4004,{},14375181
4005,The Jaws Collection,51881013
4006,{},4916871
4007,{},12396383
4008,{},34377585
4009,Lost Boys Collection,32222567
4010,{},0
4011,{},9868521
4012,{},0
4013,Mannequin Collection,42721196
4014,{},17336370
4015,{},0
4016,{},3769990
4017,{},0
4018,{},0
4019,{},0
4020,{},0
4021,{},3832228
4022,{},10424470
4023,Left Behind Collection,0
4024,{},0
4025,Wong Kar-Wai's Informal Collection,12854953
4026,{},0
4027,{},0
4028,{},0
4029,The Hannibal Lecter Anthology,351692268
4030,{},19351569
4031,{},0
4032,{},0
4033,{},0
4034,{},0
4035,Disneys Große Pause,44460850
4036,{},65754228
4037,{},0
4038,{},0
4039,{},5409517
4040,{},18720175
4041,{},0
4042,{},147845033
4043,{},0
4044,{},0
4045,{},0
4046,{},2070806
4047,{},0
4048,{},56359980
4049,{},0
4050,{},637769
4051,{},0
4052,{},0
4053,{},0
4054,{},0
4055,{},0
4056,{},0
4057,{},0
4058,{},11000000
4059,{},0
4060,{},0
4061,{},2510433
4062,{},343786
4063,{},0
4064,{},0
4065,{},0
4066,{},0
4067,{},0
4068,{},0
4069,{},0
4070,{},15473333
4071,{},10400000
4072,{},0
4073,Demetrius Filmreihe,0
4074,{},0
4075,{},0
4076,Dr. Phibes Collection,0
4077,{},0
4078,{},0
4079,{},11000000
4080,{},16853487
4081,{},30102717
4082,{},45000000
4083,{},0
4084,{},7434726
4085,{},1246141
4086,{},35419397
4087,{},4557214
4088,{},0
4089,{},0
4090,The Hannibal Lecter Anthology,8620929
4091,{},15445131
4092,{},14560084
4093,{},8143225
4094,Revenge of the Nerds Collection,0
4095,Revenge of the Nerds Collection,22642033
4096,{},0
4097,{},0
4098,{},0
4099,{},0
4100,{},43008075
4101,{},0
4102,C.H.U.D. Collection,3412497
4103,{},96976270
4104,{},79958599
4105,{},0
4106,{},39723096
4107,{},0
4108,{},0
4109,{},0
4110,{},0
4111,{},0
4112,Spy Kids Collection,147934180
4113,{},23430766
4114,{},28008462
4115,{},20908467
4116,{},0
4117,{},0
4118,Alex Cross Collection,105178561
4119,{},83282296
4120,The Visitors Collection,0
4121,Pokémon Collection,68411275
4122,Pokémon Collection,68411275
4123,Pokémon Collection,68411275
4124,Pokémon Collection,68411275
4125,{},0
4126,{},852206
4127,{},0
4128,{},0
4129,Bridget Jones Collection,281929795
4130,Joe Dirt Collection,30987695
4131,{},0
4132,{},0
4133,{},0
4134,{},236185
4135,{},0
4136,{},0
4137,Crocodile Dundee Collection,39438674
4138,{},0
4139,{},0
4140,{},0
4141,{},32395
4142,{},0
4143,{},0
4144,{},0
4145,{},65884703
4146,{},0
4147,{},54744738
4148,{},0
4149,{},0
4150,{},10372291
4151,{},0
4152,The Mummy Collection,433013274
4153,{},0
4154,{},0
4155,{},0
4156,{},71000000
4157,{},16519460
4158,{},0
4159,{},0
4160,{},0
4161,{},0
4162,{},29712172
4163,{},0
4164,{},0
4165,{},0
4166,{},0
4167,{},22773535
4168,{},1703282
4169,{},0
4170,{},0
4171,{},0
4172,{},23202444
4173,{},0
4174,{},22228000
4175,{},24689703
4176,{},0
4177,{},0
4178,{},136400000
4179,{},0
4180,{},460226
4181,{},117487473
4182,{},0
4183,{},0
4184,{},0
4185,{},1079726
4186,{},0
4187,{},29700000
4188,Shrek Collection,484409218
4189,{},0
4190,{},179213434
4191,{},0
4192,{},449220945
4193,{},0
4194,{},0
4195,{},0
4196,{},0
4197,{},0
4198,{},0
4199,{},754935
4200,{},39071603
4201,{},0
4202,{},0
4203,City Slickers Collection,179033791
4204,{},0
4205,{},0
4206,{},0
4207,Alienation Trilogy,0
4208,{},34604000
4209,The Magnificent Seven Collection,4905000
4210,The Magnificent Seven Collection,0
4211,{},5800000
4212,{},0
4213,{},0
4214,{},18782400
4215,{},57915972
4216,{},0
4217,{},0
4218,{},0
4219,{},20000000
4220,{},3225000
4221,{},0
4222,{},84772742
4223,{},0
4224,{},512451
4225,{},98376292
4226,{},147080413
4227,{},0
4228,{},0
4229,{},0
4230,{},0
4231,{},24911670
4232,{},0
4233,{},83531958
4234,{},0
4235,{},27900000
4236,{},57138719
4237,{},0
4238,{},0
4239,{},0
4240,{},5000000
4241,{},0
4242,{},0
4243,{},177200000
4244,{},0
4245,{},0
4246,{},0
4247,{},0
4248,Atlantis Collection,186053725
4249,Tomb Raider Collection,274703340
4250,Dr. Dolittle Collection,176104344
4251,The Fast and the Furious Collection,207283925
4252,{},235926552
4253,{},29381649
4254,{},16929123
4255,{},0
4256,{},0
4257,{},0
4258,{},0
4259,{},0
4260,{},0
4261,{},0
4262,{},0
4263,{},0
4264,{},5471376
4265,The Crimson Rivers Collection,0
4266,{},0
4267,{},0
4268,Cats & Dogs Collection,93375151
4269,{},64437847
4270,Scary Movie Collection,141220678
4271,{},0
4272,{},940944
4273,{},0
4274,{},0
4275,{},0
4276,Beach Party Collection,0
4277,Totò Collection,0
4278,Cannonball Run Collection,72179579
4279,Cannonball Run Collection,28078073
4280,Cannonball Run Collection,3077361
4281,{},0
4282,{},0
4283,{},6600000
4284,Dr Goldfoot Collection,0
4285,{},1450000
4286,{},0
4287,{},0
4288,{},8000000
4289,{},0
4290,{},0
4291,{},2735731
4292,{},8362969
4293,{},0
4294,{},0
4295,{},0
4296,{},0
4297,Cheech & Chong Collection,0
4298,{},0
4299,{},0
4300,Cheech & Chong Collection,21134374
4301,{},3100000
4302,{},0
4303,{},0
4304,{},0
4305,{},0
4306,{},0
4307,{},0
4308,{},0
4309,{},0
4310,{},8200000
4311,{},10400000
4312,{},0
4313,{},0
4314,{},0
4315,{},0
4316,{},0
4317,{},0
4318,{},0
4319,The Three Mothers Collection,0
4320,{},0
4321,{},0
4322,{},0
4323,{},0
4324,{},25754284
4325,{},17374595
4326,{},85000000
4327,{},0
4328,Final Fantasy Collection,85131830
4329,Legally Blonde Collection,141774679
4330,{},71069884
4331,{},28
4332,{},480811
4333,{},0
4334,{},5476060
4335,{},21268532
4336,{},0
4337,{},0
4338,{},13651656
4339,{},0
4340,{},0
4341,{},0
4342,{},0
4343,{},0
4344,{},0
4345,{},5979011
4346,{},0
4347,{},0
4348,{},18869631
4349,{},8083123
4350,{},670774
4351,{},960040
4352,{},0
4353,Arthur Collection,14681192
4354,{},9797098
4355,{},3184348
4356,{},57041866
4357,{},0
4358,{},0
4359,Pee-wee's Collection,15122000
4360,{},51684798
4361,{},0
4362,{},8247943
4363,{},784990
4364,{},0
4365,Caddyshack Collection,0
4366,{},115860
4367,{},115860
4368,{},115860
4369,{},115860
4370,{},12277096
4371,{},8674093
