,belongs_to_collection,id,title,vote_average,vote_count
13349,The Mesrine Collection,13635.0,Mesrine: Killer Instinct,7.3,243.0
13350,My Bloody Valentine Collection,14435.0,My Bloody Valentine,5.3,303.0
13351,{},21966.0,Blood and Bones,5.7,13.0
13352,{},52886.0,Castaway,6.2,21.0
13353,{},37373.0,Island in the Sun,6.0,3.0
13354,{},170094.0,Liberty Kid,8.0,1.0
13355,{},260528.0,De fûke,0.0,0.0
13356,{},13177.0,Battle in Seattle,6.3,75.0
13357,{},34696.0,Fuel,0.0,0.0
13358,{},221861.0,Aspen,0.0,0.0
13359,{},114403.0,Model,5.0,1.0
13360,{},14139.0,Timecrimes,7.0,313.0
13361,{},16999.0,Fire and Ice: The Dragon Chronicles,4.5,22.0
13362,{},8280.0,The Secret of the Grain,7.4,44.0
13363,{},125705.0,Hamlet,0.0,0.0
13364,{},36746.0,Punk's Not Dead,6.3,7.0
13365,{},36402.0,The Welts,7.9,7.0
13366,{},317.0,Grbavica: The Land of My Dreams,6.9,15.0
13367,Underworld Collection,12437.0,Underworld: Rise of the Lycans,6.2,1447.0
13368,{},2309.0,Inkheart,6.0,610.0
13369,{},86363.0,Gun The Man Down,6.0,1.0
13370,{},60542.0,Albuquerque,7.1,7.0
13371,Why We Fight,162865.0,Why We Fight: War Comes to America,5.0,1.0
13372,{},47658.0,John Waters: This Filthy World,8.2,10.0
13373,{},31688.0,The Soviet Story,6.9,10.0
13374,{},14076.0,Shoot on Sight,6.2,11.0
13375,{},13942.0,The Alphabet Killer,5.2,50.0
13376,Revenge of the Nerds Collection,18543.0,Revenge of the Nerds III: The Next Generation,4.0,18.0
13377,Revenge of the Nerds Collection,21029.0,Revenge of the Nerds IV: Nerds In Love,3.5,19.0
13378,{},50307.0,Soup to Nuts,3.5,2.0
13379,{},49511.0,Chinese Coffee,6.3,16.0
13380,{},27440.0,Save Me,5.1,11.0
13381,{},13825.0,The Lazarus Project,6.0,116.0
13382,{},250093.0,The Man,8.0,1.0
13383,Galaxy Express 999 Collection,15227.0,Galaxy Express 999,6.2,12.0
13384,Mall Cop Collection,14560.0,Paul Blart: Mall Cop,5.2,807.0
13385,{},14410.0,Notorious,6.6,163.0
13386,{},13788.0,The Unborn,4.8,373.0
13387,{},13429.0,Donkey Punch,4.5,52.0
13388,{},6733.0,Where Is Fred?,6.1,57.0
13389,{},14871.0,Make It Happen,5.4,75.0
13390,{},35077.0,Three Strangers,6.2,8.0
13391,{},14353.0,Repo! The Genetic Opera,6.7,103.0
13392,{},27447.0,Edge of Madness,5.8,6.0
13393,{},14254.0,The Uninvited,6.3,424.0
13394,{},16137.0,Fear(s) of the Dark,6.7,15.0
13395,{},17803.0,12:01,6.2,33.0
13396,{},101838.0,Game Over,3.5,4.0
13397,{},214436.0,Maria,8.3,2.0
13398,{},14549.0,Night Train,5.4,50.0
13399,{},80193.0,The Big Stampede,3.2,5.0
13400,{},169869.0,Blue,6.3,2.0
13401,{},56816.0,The Visitor,6.0,2.0
13402,{},38205.0,Kummeli Goldrush,6.8,15.0
13403,{},168261.0,Shadow of the Holy Book,5.0,1.0
13404,{},10529.0,Outlander,6.1,354.0
13405,{},75880.0,Belle of the Nineties,4.5,3.0
13406,{},160783.0,Branded,4.2,5.0
13407,{},58782.0,A Dead Calling,2.0,3.0
13408,{},62753.0,Beachhead,4.7,3.0
13409,{},417285.0,Los signos del zodiaco,0.0,0.0
13410,{},14582.0,Passchendaele,6.3,26.0
13411,{},46595.0,The Great Ecstasy of Woodcarver Steiner,7.4,16.0
13412,{},50318.0,Go Go Tales,5.4,14.0
13413,{},253116.0,Wrestling with Alligators,0.0,0.0
13414,{},94533.0,The Badlanders,6.1,6.0
13415,{},44052.0,Black Widow,4.0,5.0
13416,{},63938.0,Bad Luck Love,6.8,9.0
13417,The Grudge Collection,1977.0,The Grudge 3,5.3,150.0
13418,{},46725.0,Indictment: The McMartin Trial,6.1,7.0
13419,{},13510.0,Eden Lake,6.7,415.0
13420,{},15554.0,Triumph of the Nerds: The Rise of Accidental Empires,7.5,11.0
13421,{},14836.0,Coraline,7.3,1432.0
13422,{},48350.0,Psychomania,6.5,16.0
13423,{},97915.0,Point of Order!,5.0,1.0
13424,{},15003.0,Chocolate,7.0,99.0
13425,{},24194.0,TerrorVision,5.8,43.0
13426,{},14851.0,The Escapist,6.4,79.0
13427,{},13455.0,Push,5.9,671.0
13428,{},4959.0,The International,6.0,373.0
13429,{},10362.0,Two Lovers,6.6,157.0
13430,{},10184.0,He's Just Not That Into You,6.2,988.0
13431,{},16170.0,Jar City,6.7,20.0
13432,{},14849.0,Dead Like Me: Life After Death,5.8,67.0
13433,Uuno Turhapuro,36764.0,Uuno Turhapuro,5.7,3.0
13434,{},111459.0,California,6.3,3.0
13435,{},37309.0,Canyon Passage,6.8,12.0
13436,{},131729.0,The Con,5.0,3.0
13437,{},52105.0,Husbands,6.1,16.0
13438,{},60539.0,The Cimarron Kid,6.2,5.0
13439,{},28196.0,The Avenging Conscience: or 'Thou Shalt Not Kill',6.5,4.0
13440,{},1560.0,Singapore Sling,7.9,20.0
13441,{},85394.0,33 Scenes from Life,6.0,4.0
13442,Futurama Collection,15060.0,Futurama: Into the Wild Green Yonder,7.2,134.0
13443,{},26900.0,The Bandit,7.5,51.0
13444,{},15189.0,Hotel for Dogs,5.7,205.0
13445,{},133328.0,The Deadly Trackers,5.0,3.0
13446,{},13492.0,Frontier(s),6.0,186.0
13447,{},70089.0,Comet in Moominland,7.3,6.0
13448,{},4832.0,The 11th Hour,6.4,28.0
13449,{},135938.0,Daddy,7.3,6.0
13450,{},7353.0,Fireflies in the Garden,6.4,59.0
13451,Afro Samurai Collection,14711.0,Afro Samurai: Resurrection,6.7,49.0
13452,{},52512.0,Café Lumière,6.7,16.0
13453,{},98193.0,Death by Hanging,7.5,14.0
13454,{},49600.0,The Last Movie,6.5,4.0
13455,{},24171.0,Dry Season,6.8,6.0
13456,{},47980.0,Jesus Christ Superstar,7.1,4.0
13457,Trancers Collection,5677.0,Trancers,6.3,42.0
13458,{},44618.0,The Man Who Quit Smoking,6.7,6.0
13459,{},16804.0,Departures,7.7,202.0
13460,{},25405.0,Taking Chance,6.8,31.0
13461,{},73953.0,AmericanEast,6.1,4.0
13462,{},1961.0,My Name Is Bruce,5.9,107.0
13463,{},15148.0,Man in the Chair,5.3,4.0
13464,{},54838.0,Robinson in Space,7.5,2.0
13465,{},15945.0,The Way of War,3.5,12.0
13466,{},171840.0,Kimberly,3.7,3.0
13467,{},68190.0,Ralliraita,6.8,4.0
13468,{},14204.0,Ping Pong Playa,6.0,23.0
13469,{},20829.0,Funny People,5.6,398.0
13470,{},30508.0,Berlin Calling,7.0,109.0
13471,{},15039.0,Against the Dark,3.7,42.0
13472,{},13639.0,The Letter for the King,7.0,4.0
13473,{},47561.0,Firepower,5.6,5.0
13474,{},18884.0,Nuremberg,7.6,23.0
13475,{},26036.0,Bigger Than Life,7.4,37.0
13476,{},434306.0,Going to Kansas City,5.0,2.0
13477,{},14977.0,Red Sands,4.0,32.0
13478,{},157909.0,Show Me,5.6,4.0
13479,{},21851.0,The Lost,5.0,3.0
13480,Waiting Collection,15105.0,Still Waiting...,5.1,27.0
13481,{},17314.0,Pistol Whipped,5.5,26.0
13482,{},24351.0,Flight of Fury,4.5,24.0
13483,{},94405.0,The Far Horizons,4.0,3.0
13484,{},110761.0,Container,6.1,4.0
13485,{},38087.0,Mystery Team,6.4,52.0
13486,{},16177.0,Killer Babes,7.0,3.0
13487,{},29363.0,A World Without Thieves,7.1,30.0
13488,{},79331.0,The Gunfight at Dodge City,4.3,5.0
13489,{},36499.0,His Private Secretary,4.1,6.0
13490,Street Fighter,15268.0,Street Fighter: The Legend of Chun-Li,3.9,113.0
13491,{},17317.0,Urban Justice,5.4,34.0
13492,{},434.0,Tough Enough,7.2,14.0
13493,{},15670.0,Madea Goes to Jail,6.4,52.0
13494,{},206034.0,The Black Watch,6.3,2.0
13495,{},19255.0,Away We Go,6.7,189.0
13496,{},43034.0,Hell to Eternity,10.0,1.0
13497,{},29117.0,The Unsuspected,5.2,8.0
13498,{},14979.0,Thick as Thieves,5.7,223.0
13499,{},18208.0,Beautiful Ohio,6.5,2.0
13500,{},41054.0,Il Grido,6.7,17.0
13501,{},37468.0,The Big Lift,6.5,4.0
13502,{},8832.0,Il Divo,7.5,166.0
13503,{},50013.0,Wings,7.0,10.0
13504,{},8279.0,Paris,6.5,79.0
13505,{},14063.0,Adrift in Manhattan,5.7,5.0
13506,Friday the 13th Collection,13207.0,Friday the 13th,5.7,566.0
13507,{},15067.0,"The Good, The Bad, The Weird",7.1,196.0
13508,Screamers Collection,14853.0,Screamers: The Hunting,4.4,35.0
13509,The Pink Panther (Steve Martin) Collection,15159.0,The Pink Panther 2,5.4,323.0
13510,{},18529.0,Crips and Bloods: Made in America,7.1,13.0
13511,{},7916.0,Far Cry,3.1,73.0
13512,{},38789.0,I Manegen med Glenn Killing: Live från Berns,0.0,0.0
13513,{},90324.0,The English Surgeon,8.7,7.0
13514,{},67384.0,A Hell of a Day,7.0,3.0
13515,{},36281.0,Shara,5.9,10.0
13516,La Trilogie Marseillaise,42818.0,Marius,6.6,9.0
13517,{},29717.0,The Adventures of Food Boy,5.6,10.0
13518,La Trilogie Marseillaise,43873.0,César,9.0,3.0
13519,{},17158.0,They Wait,5.0,30.0
13520,{},24221.0,The Rebel,6.5,10.0
13521,{},17077.0,Everlasting Moments,7.9,16.0
13522,{},47497.0,Expecting Love,4.0,2.0
13523,{},10049.0,Attack Force,4.3,25.0
13524,{},9914.0,Shadow Man,4.3,26.0
13525,{},40227.0,Playing for Keeps,5.0,1.0
13526,{},20421.0,Rock-A-Doodle,5.3,46.0
13527,{},125858.0,Tokyo.sora,8.3,4.0
13528,{},111014.0,Dead Silent,4.1,4.0
13529,{},14301.0,Dr. Horrible's Sing-Along Blog,7.8,236.0
13530,{},8382.0,Today You Die,4.0,31.0
13531,{},13849.0,The Cottage,6.3,80.0
13532,{},27061.0,Two Men in Manhattan,6.5,12.0
13533,La Trilogie Marseillaise,43146.0,Fanny,6.6,9.0
13534,{},85330.0,Out At The Wedding,5.6,6.0
13535,{},53574.0,Born to the West,4.1,5.0
13536,{},74286.0,The Hasty Heart,6.5,2.0
13537,{},30906.0,Frontrunners,0.0,0.0
13538,{},26939.0,The Quick and the Dead,5.4,12.0
13539,{},26127.0,Joshua Tree,5.1,33.0
13540,{},13613.0,Day of the Dead,4.7,107.0
13541,{},16538.0,"I Love You, Man",6.5,531.0
13542,{},19998.0,The Big Steal,6.3,21.0
13543,{},5334.0,Billy Budd,7.8,13.0
13544,{},26387.0,Night Has a Thousand Eyes,5.8,8.0
13545,{},7517.0,Live Free or Die,5.5,8.0
13546,{},34474.0,Blonde Venus,6.5,23.0
13547,{},13094.0,Dance of the Dead,6.0,66.0
13548,The Haunting in Connecticut Collection,18781.0,The Haunting in Connecticut,6.0,317.0
13549,{},27757.0,The Little Engine That Could,0.0,0.0
13550,{},16558.0,Duplicity,5.7,203.0
13551,{},13811.0,Knowing,5.9,1528.0
13552,{},17003.0,Sugar,6.5,12.0
13553,Takashi Miike's Young Thugs series,80314.0,Young Thugs: Nostalgia,6.1,5.0
13554,{},161006.0,Praying With Lior,0.0,0.0
13555,Ong Bak Collection,16353.0,Ong Bak 2,5.9,156.0
13556,The Millennium Collection,15472.0,The Girl with the Dragon Tattoo,7.4,1020.0
13557,{},52528.0,Bloodbath at the House of Death,5.6,9.0
13558,{},13090.0,Sunshine Cleaning,6.5,256.0
13559,{},15854.0,Kung Fu Panda: Secrets of the Furious Five,6.5,80.0
13560,{},53651.0,Hangman's Knot,5.7,7.0
13561,{},58076.0,Immortal Sergeant,6.3,2.0
13562,{},143240.0,Nigdy w życiu!,5.7,9.0
13563,{},73856.0,The Children of Leningradsky,8.2,5.0
13564,{},14180.0,Submerged,4.0,32.0
13565,{},36836.0,Stacy: Attack of the Schoolgirl Zombies,4.7,14.0
13566,{},17166.0,Insanitarium,5.0,26.0
13567,{},47739.0,Illegal,6.1,7.0
13568,{},16325.0,Echelon Conspiracy,5.4,110.0
13569,{},113321.0,Jasminum,6.0,1.0
13570,{},17097.0,After Sex,5.2,54.0
13571,{},46799.0,The Third Part of the Night,7.3,17.0
13572,{},19950.0,13B: Fear Has a New Address,5.7,16.0
13573,{},15512.0,Monsters vs Aliens,6.0,1464.0
13574,{},14735.0,Boarding Gate,5.1,18.0
13575,{},24220.0,California Dreamin',6.2,15.0
13576,{},21946.0,Counter Investigation,7.0,69.0
13577,{},20529.0,Sita Sings the Blues,6.9,25.0
13578,Naked Fear Collection,30155.0,Naked Fear,5.4,14.0
13579,{},39914.0,Chaos,4.4,7.0
13580,{},42914.0,Three on a Match,6.1,18.0
13581,{},36392.0,Kogel-mogel,7.5,6.0
13582,{},62437.0,Land of Silence and Darkness,7.5,16.0
13583,{},6968.0,The Baader Meinhof Complex,7.1,157.0
13584,{},13161.0,Big Stan,5.9,178.0
13585,{},16197.0,Dating The Enemy,6.7,10.0
13586,{},53828.0,Blue Steel,4.5,10.0
13587,{},34015.0,We Live in Public,7.4,18.0
13588,{},13808.0,Strictly Sexual,6.3,27.0
13589,{},14637.0,Nothing But the Truth,6.9,134.0
13590,{},15912.0,The Square,6.2,30.0
13591,{},18096.0,The Gray Man,5.8,15.0
13592,{},18094.0,Anvil! The Story of Anvil,7.7,85.0
13593,{},33811.0,Border Incident,7.2,7.0
13594,{},53863.0,Star of Midnight,5.3,3.0
13595,{},16991.0,Observe and Report,5.6,229.0
13596,{},99283.0,Private Lives,6.1,6.0
13597,{},94854.0,Too Many Girls,5.0,3.0
13598,{},43396.0,Union Station,6.0,11.0
13599,{},16614.0,Adventureland,6.4,748.0
13600,Trylogia Sienkiewicza,31273.0,With Fire and Sword,6.7,9.0
13601,{},18558.0,Scenes of a Sexual Nature,5.2,22.0
13602,{},16071.0,The Cake Eaters,5.5,39.0
13603,{},20048.0,Confessions of a Shopaholic,6.1,787.0
13604,{},8747.0,The Black Balloon,6.7,31.0
13605,The Butterfly Effect Collection,16258.0,The Butterfly Effect 3: Revelations,5.1,158.0
13606,{},15451.0,Revanche,7.2,59.0
13607,{},330711.0,One Kill,0.0,0.0
13608,{},82962.0,Killer Force,3.7,3.0
13609,{},22705.0,Cheeky,5.5,40.0
13610,{},16005.0,The Lucky Ones,6.3,55.0
13611,{},55748.0,Ystäväni Henry,0.0,0.0
13612,{},39331.0,The Body,5.6,7.0
13613,{},284117.0,Fitna,1.0,1.0
13614,{},55500.0,The Land of Happiness,0.0,0.0
13615,{},14164.0,Dragonball Evolution,2.9,475.0
13616,{},3632.0,Flash Gordon,6.6,10.0
13617,Rest Stop Collection,9841.0,Rest Stop,5.0,59.0
13618,{},91099.0,Your life in 65 minutes,6.5,4.0
13619,{},97421.0,Kansas Raiders,5.9,8.0
13620,{},43250.0,The Lonely Man,6.0,2.0
13621,{},142973.0,Dating Games People Play,0.0,0.0
13622,{},55773.0,Man on the Flying Trapeze,4.0,2.0
13623,{},1940.0,Porgy and Bess,5.7,6.0
13624,{},33726.0,Can-Can,7.2,9.0
13625,{},61070.0,Pekka ja Pätkä lumimiehen jäljillä,5.7,3.0
13626,{},93562.0,Law and Order,4.2,3.0
13627,{},13557.0,The Gravedancers,5.7,50.0
13628,{},10041.0,Broken,4.8,15.0
13629,Kiler Collection,31132.0,Kiler,8.1,18.0
13630,The Fast and the Furious Collection,13804.0,Fast & Furious,6.5,2426.0
13631,{},34796.0,City Girl,7.4,19.0
13632,{},35849.0,Hangover Square,5.0,10.0
13633,Sugata Sanshirō Collection,35022.0,Sanshiro Sugata,6.0,24.0
13634,Sugata Sanshirō Collection,45965.0,Sanshiro Sugata Part Two,5.5,10.0
13635,{},19976.0,The Exterminating Angels,4.8,14.0
13636,{},1387.0,Superstar: The Karen Carpenter Story,7.5,12.0
13637,{},21376.0,A Force of One,3.6,22.0
13638,{},16867.0,Gardens of the Night,6.5,28.0
13639,{},19833.0,In the Loop,7.0,194.0
13640,{},16919.0,Global Metal,7.6,19.0
13641,{},15580.0,The End Of America,7.3,6.0
13642,{},15801.0,What Doesn't Kill You,6.4,37.0
13643,{},8902.0,Linha de Passe,6.3,10.0
13644,{},19618.0,Crime Wave,6.5,12.0
13645,{},83099.0,Escape from Fort Bravo,6.0,13.0
13646,{},27644.0,Ride Lonesome,6.0,29.0
13647,{},18947.0,The Boat That Rocked,7.2,678.0
13648,{},128857.0,Apollo 13: To the Edge and Back,0.0,0.0
13649,{},46096.0,The Small Back Room,6.6,10.0
13650,{},67857.0,The Mindscape of Alan Moore,6.3,4.0
13651,{},16996.0,17 Again,6.1,1388.0
13652,{},168538.0,"Nana, the True Key of Pleasure",4.7,3.0
13653,{},168538.0,"Nana, the True Key of Pleasure",4.7,3.0
13654,{},168538.0,"Nana, the True Key of Pleasure",4.7,3.0
13655,{},168538.0,"Nana, the True Key of Pleasure",4.7,3.0
13656,{},8833.0,Double Trouble,6.6,105.0
13657,{},16869.0,Inglourious Basterds,7.9,6598.0
13658,{},16995.0,State of Play,6.7,489.0
13659,{},99224.0,The Lawless Breed,6.7,3.0
13660,{},94139.0,Lust for Gold,4.7,8.0
13661,{},10000.0,La estrategia del caracol,7.2,9.0
13662,{},44967.0,Strike,7.2,29.0
13663,{},91603.0,The Magic of Méliès,7.5,2.0
13664,{},84908.0,Lawless Range,5.3,2.0
13665,The Desert Collection,45882.0,Bab'Aziz,7.2,8.0
13666,{},21641.0,The Damned United,7.2,156.0
13667,{},13119.0,Hank and Mike,6.1,6.0
13668,Crank Collection,15092.0,Crank: High Voltage,5.9,878.0
13669,{},51472.0,The Garage,6.8,6.0
13670,{},51263.0,The Strong Man,6.5,2.0
13671,{},24365.0,The Final Inquiry,4.0,9.0
13672,Kiler Collection,38872.0,Kiler-ów 2-óch,8.1,10.0
13673,{},95977.0,The Man Behind The Gun,6.0,1.0
13674,{},17431.0,Moon,7.6,1831.0
13675,{},38870.0,Komedia malzenska,0.0,0.0
13676,{},67849.0,Break Up,3.8,9.0
13677,{},112582.0,Fraternity Demon,3.3,2.0
13678,{},205410.0,The Smart Set,7.0,1.0
13679,{},13123.0,Aamir,6.7,12.0
13680,{},33974.0,Mammoth,6.1,41.0
13681,{},45949.0,The Days Between,6.3,3.0
13682,{},18320.0,The Young Victoria,7.1,330.0
13683,{},49571.0,Intentions of Murder,6.6,12.0
13684,{},53204.0,Amazing Journey: The Story of The Who,7.0,1.0
13685,{},17436.0,The Informers,4.4,60.0
13686,{},30843.0,Antique,6.2,13.0
13687,The Wolverine Collection,2080.0,X-Men Origins: Wolverine,6.2,4086.0
13688,{},17680.0,The Girlfriend Experience,5.2,83.0
13689,{},36175.0,Turtles Are Surprisingly Fast Swimmers,6.4,9.0
13690,{},53624.0,The Desert Trail,3.3,8.0
13691,{},120528.0,Moving Midway,5.5,2.0
13692,{},17073.0,American Swing,4.3,5.0
13693,{},21191.0,Sin Nombre,7.3,139.0
13694,{},270952.0,The Life and Times of Allen Ginsberg,0.0,0.0
13695,Star Trek: Alternate Reality Collection,13475.0,Star Trek,7.4,4574.0
13696,{},24273.0,Happy Campers,5.4,10.0
13697,Charlie Chan (Sidney Toler) Collection,38464.0,Black Magic,8.2,3.0
13698,{},22152.0,Lymelife,6.4,43.0
13699,{},16279.0,The Great Buck Howard,6.0,86.0
13700,{},72891.0,Euphoria,6.0,10.0
13701,{},6461.0,Cherry Blossoms,7.5,29.0
13702,{},23391.0,Riders of Destiny,4.3,7.0
13703,Flatfoot Collection,11160.0,Flatfoot in Egypt,6.2,33.0
13704,{},168643.0,XIII,5.9,43.0
13705,{},19350.0,Knights of Bloodsteel,4.6,5.0
13706,Red Cliff Collection,15384.0,Red Cliff Part II,7.1,110.0
13707,{},156908.0,Täynnä tarmoa,8.0,1.0
13708,{},48116.0,Love Sick,6.9,16.0
13709,{},15342.0,The Girl from Monaco,4.9,25.0
13710,{},25004.0,Black Ice,5.4,10.0
13711,Wild Things Collection,17124.0,Wild Things: Diamonds in the Rough,4.3,29.0
13712,{},210487.0,Człowiek z M-3,7.0,1.0
13713,{},64115.0,I Hate Mondays,7.7,7.0
13714,Darko Collection,17532.0,S. Darko,3.6,124.0
13715,{},10946.0,Earth,7.5,136.0
13716,{},23590.0,Sagebrush Trail,4.2,10.0
13717,{},30416.0,Stanley Kubrick: A Life in Pictures,7.2,44.0
13718,{},65503.0,A Lady Takes a Chance,7.5,3.0
13719,{},38869.0,Wyjście awaryjne,0.0,0.0
13720,{},17027.0,Shuttle,5.7,19.0
13721,{},15577.0,Crossing Over,6.2,95.0
13722,Robert Langdon Collection,13448.0,Angels & Demons,6.5,2183.0
13723,{},288035.0,"Kids in the Hall: Same Guys, New Dresses",0.0,0.0
13724,{},92312.0,Django the Bastard,4.4,7.0
13725,{},80592.0,The Man from Monterey,5.3,4.0
13726,{},90120.0,Horrorvision,3.5,3.0
13727,{},17635.0,Daylight Robbery,5.3,13.0
13728,{},42738.0,Scorpio,6.0,19.0
13729,{},14141.0,Balls Out: The Gary Houseman Story,5.4,36.0
13730,{},30312.0,Outrage,7.4,7.0
13731,{},47906.0,The Seduction of Joe Tynan,7.0,5.0
13732,{},111752.0,Man in the Middle,6.6,5.0
13733,{},122160.0,More Dead Than Alive,5.9,6.0
13734,{},17740.0,Powder Blue,6.3,69.0
13735,{},42943.0,The Devil Is a Woman,6.2,11.0
13736,{},13532.0,Fanboys,6.1,320.0
13737,{},18495.0,Folks!,6.1,10.0
13738,{},180162.0,Breaking the Rules,5.4,4.0
13739,{},25218.0,Live!,5.7,48.0
13740,{},24053.0,The Merry Gentleman,6.8,10.0
13741,{},53947.0,The Murder of Fred Hampton,7.5,2.0
13742,{},15705.0,Incendiary,5.3,55.0
13743,{},14448.0,Love Songs,7.0,61.0
13744,{},21583.0,Management,5.5,102.0
13745,The Terminator Collection,534.0,Terminator Salvation,5.9,2496.0
13746,Night at the Museum Collection,18360.0,Night at the Museum: Battle of the Smithsonian,5.9,2026.0
13747,{},38008.0,Ghosts of Cité Soleil,5.0,1.0
13748,{},2049.0,How to Cook Your Life,5.0,1.0
13749,{},19375.0,Were The World Mine,6.1,25.0
13750,{},23997.0,Every Little Step,5.8,5.0
13751,{},18238.0,Lesbian Vampire Killers,5.3,126.0
13752,{},21755.0,The Brothers Bloom,6.8,206.0
13753,{},43378.0,Man in the Saddle,5.6,4.0
13754,{},121707.0,Montana,4.8,2.0
13755,{},30239.0,Vincere,6.4,29.0
13756,{},101362.0,A Cure for Love,0.0,0.0
13757,Sami Swoi Collection,8211.0,Our Folks,7.6,16.0
13758,War Trilogy,8429.0,Paisan,7.6,44.0
13759,{},44012.0,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",7.3,31.0
13760,{},10541.0,Shall We Kiss?,6.6,15.0
13761,{},19955.0,I Do,6.4,80.0
13762,{},90799.0,Hi Diddle Diddle,8.3,3.0
13763,{},39194.0,Rhinoceros,7.5,2.0
13764,{},36460.0,The Man With Bogart's Face,6.0,2.0
13765,{},27502.0,The Monster,6.0,1.0
13766,{},15555.0,Chop Shop,7.2,23.0
13767,{},40022.0,Caliber 9,7.5,26.0
13768,{},86764.0,Suzanne's Career,5.4,9.0
13769,{},42062.0,Moontide,5.4,8.0
13770,{},14126.0,Catacombs,4.5,49.0
13771,{},17332.0,The Soloist,6.6,237.0
13772,{},18405.0,The Last House on the Left,6.2,449.0
13773,{},155426.0,Anioł w Krakowie,9.0,2.0
13774,Evangelion Collection,21832.0,Neon Genesis Evangelion: Death and Rebirth,7.4,54.0
13775,{},16871.0,Drag Me to Hell,6.2,995.0
13776,{},14160.0,Up,7.8,7048.0
13777,{},21967.0,Late Autumn,7.7,15.0
13778,Fullmetal Alchemist Collection,14003.0,Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.0,74.0
13779,{},16899.0,Easy Virtue,6.4,112.0
13780,{},21724.0,Dance Flick,4.7,73.0
13781,{},8282.0,Summer Hours,6.8,34.0
13782,{},31404.0,Show People,6.8,8.0
13783,{},42513.0,Two English Girls,6.7,24.0
13784,{},83868.0,Female,6.2,6.0
13785,{},4934.0,Firecreek,5.5,16.0
13786,OSS 117 Collection,15588.0,OSS 117: Lost in Rio,7.0,306.0
13787,{},61109.0,The Flame of New Orleans,4.8,4.0
13788,{},129089.0,Flash Gordon: Trip to Mars,4.3,2.0
13789,{},14857.0,Personal Effects,5.8,37.0
13790,{},17927.0,Fired Up!,6.0,194.0
13791,{},77822.0,The Winslow Boy,6.5,7.0
13792,{},14330.0,Trojan War,5.4,25.0
13793,{},26508.0,The War Game,7.8,32.0
13794,Without a Paddle Collection,28677.0,Without a Paddle: Nature's Calling,5.1,18.0
13795,{},19203.0,Graduation,5.7,16.0
13796,{},15712.0,Welcome,7.1,62.0
13797,{},13975.0,In the Electric Mist,6.0,112.0
13798,The Hangover Collection,18785.0,The Hangover,7.2,6324.0
13799,{},16164.0,Killshot,5.9,80.0
13800,{},17609.0,Antichrist,6.4,687.0
13801,{},33104.0,Don,6.0,18.0
13802,{},37924.0,Sweeney Todd,6.3,39.0
13803,{},43321.0,Pete Kelly's Blues,6.4,5.0
13804,{},18869.0,Jimmy and Judy,5.4,8.0
13805,{},17829.0,A Song Is Born,6.4,10.0
13806,{},16345.0,Billu,6.5,27.0
13807,{},81512.0,Many Rivers to Cross,6.0,2.0
13808,{},115306.0,Ricky Rapper,6.3,2.0
13809,{},200796.0,Show,6.3,2.0
13810,{},27134.0,Boy Eats Girl,5.4,19.0
13811,Ranma Collection,37024.0,"Ranma ½: The Movie 1, Big Trouble in Nekonron, China",5.3,5.0
13812,{},53622.0,The Man From Utah,4.1,8.0
13813,{},761.0,The Wing or the Thigh,6.8,115.0
13814,{},11914.0,Perched on a Tree,5.0,21.0
13815,{},64968.0,Marius and Jeannette,5.9,7.0
13816,Ernest Collection,34300.0,Ernest Rides Again,4.5,4.0
13817,U Pana Boga Collection,58018.0,U Pana Boga za piecem,6.8,2.0
13818,{},70806.0,Blind Husbands,6.0,3.0
13819,{},45560.0,Berlin Alexanderplatz,8.4,5.0
13820,{},26506.0,Before The Rains,5.0,3.0
13821,{},13856.0,Special,6.6,32.0
13822,{},14536.0,New in Town,5.2,99.0
13823,{},13710.0,The Merry Widow,4.9,19.0
13824,{},15084.0,Salaam Namaste,5.7,21.0
13825,Dead Snow Collection,14451.0,Dead Snow,6.1,313.0
13826,{},18162.0,Land of the Lost,5.4,387.0
13827,{},34482.0,The Clique,5.2,35.0
13828,{},16324.0,Fatso,5.1,17.0
13829,{},50600.0,A Free Soul,4.7,3.0
13830,{},18468.0,Momma's Man,6.5,2.0
13831,{},19724.0,Imagine That,5.7,134.0
13832,{},18487.0,The Taking of Pelham 1 2 3,6.2,971.0
13833,{},27799.0,Hana and Alice,6.9,25.0
13834,{},8883.0,Flame & Citron,6.8,68.0
13835,{},49767.0,Fade to Black,5.0,4.0
13836,{},29314.0,In Therapy,5.6,7.0
13837,{},40465.0,Chain Reaction,5.9,9.0
13838,{},10272.0,Jekyll + Hyde,4.8,9.0
13839,{},23924.0,Went the Day Well?,7.1,11.0
13840,Anglo-Zulu War Collection,18061.0,Zulu Dawn,5.6,35.0
13841,{},21179.0,American Violet,7.2,9.0
13842,{},42341.0,Suspect X,7.4,31.0
13843,{},18760.0,Spiritual Kung Fu,6.3,11.0
13844,{},11693.0,Big Man Japan,5.3,23.0
13845,{},40509.0,Wrestling Ernest Hemingway,5.7,7.0
13846,{},15073.0,Cargo,4.7,12.0
13847,{},31544.0,The Hitman,5.3,26.0
13848,{},84119.0,Goodbye Again,4.6,7.0
13849,{},33409.0,The Stoning of Soraya M.,8.0,63.0
