,crew,title,release_date,return,budget,revenue
11483,James Ponsoldt,Off the Black,2006-12-08,0.0,0,0
11484,Gary Winick,Charlotte's Web,2006-12-15,1.6941176470588235,85000000,144000000
11485,Stefen Fangmeier,Eragon,2006-12-14,2.49288105,100000000,249288105
11486,Sylvester Stallone,Rocky Balboa,2006-12-20,6.4883805,24000000,155721132
11487,Mohammad Rasoulof,Iron Island,2005-01-01,0.0,0,0
11488,Steven Shainberg,Fur: An Imaginary Portrait of Diane Arbus,2006-08-30,0.1357791071428571,16800000,2281089
11489,Fred C. Newmeyer,Girl Shy,1924-04-20,0.0,0,0
11490,Michael Anderson,The Dam Busters,1955-05-16,0.0,0,0
11491,David Gebroe,Zombie Honeymoon,2004-01-01,0.0,0,0
11492,Todd Stephens,Another Gay Movie,2006-04-28,1.490654,500000,745327
11493,Stanley Tong,The Myth,2005-05-11,0.0,0,0
11494,Anna Reeves,Oyster Farmer,2005-06-30,0.0,0,0
11495,James Whale,Waterloo Bridge,1931-09-01,0.0,0,0
11496,Jack Conway,Red-Headed Woman,1932-06-25,0.0,0,0
11497,Sidney Lumet,Daniel,1983-08-26,0.0,0,0
11498,Sidney Lumet,Power,1986-01-31,0.0,0,0
11499,Charles Jarrott,Lost Horizon,1973-03-17,0.0,12,0
11500,Ronald Neame,The Man Who Never Was,1956-03-15,0.0,0,0
11501,Jack Garfein,Something Wild,1961-12-23,0.0,0,0
11502,John Curran,The Painted Veil,2006-12-09,0.0,19400000,0
11503,McG,We Are Marshall,2006-12-12,0.6699286769230769,65000000,43545364
11504,Makoto Shinkai,The Place Promised in Our Early Days,2004-11-20,0.0,0,0
11505,Martin Rosen,The Plague Dogs,1982-10-21,0.0,0,0
11506,Robert De Niro,The Good Shepherd,2006-12-11,0.7048066470588236,85000000,59908565
11507,Bill Condon,Dreamgirls,2006-12-25,2.213395428571429,70000000,154937680
11508,Denis Dercourt,The Page Turner,2006-08-09,0.0,0,0
11509,Dylan Avery,Loose Change: 2nd Edition,2006-06-01,0.0,5000,0
11510,Erwin Wagenhofer,We Feed the World,2005-09-10,0.0,0,0
11511,Pier Paolo Pasolini,The Decameron,1971-01-01,0.0,0,0
11512,Richard LaGravenese,Freedom Writers,2007-01-05,1.960513523809524,21000000,41170784
11513,Spike Lee,When the Levees Broke: A Requiem in Four Acts,2006-08-16,0.0,2000000,0
11514,Claire Denis,The Intruder,2005-05-04,0.0,0,0
11515,Rainer Werner Fassbinder,Katzelmacher,1969-10-07,0.0,0,0
11516,David Lynch,INLAND EMPIRE,2006-09-06,inf,0,849055
11517,Derek Jarman,Sebastiane,1976-12-17,0.0,45000,0
11518,Derek Jarman,Caravaggio,1986-08-29,0.0,0,0
11519,Sébastien Lifshitz,Wild Side,2004-02-08,0.0,0,0
11520,Nicholas Hytner,The History Boys,2006-10-02,3.350488,4000000,13401952
11521,Richard Eyre,Notes on a Scandal,2006-12-25,3.2979936,15000000,49469904
11522,Bob Clark,Children Shouldn't Play with Dead Things,1973-02-28,0.0,70000,0
11523,John G. Avildsen,Inferno,1999-09-25,0.0,15000000,0
11524,Robert Florey,The Face Behind the Mask,1941-01-16,0.0,0,0
11525,Bruno Dumont,The Life of Jesus,1997-06-04,0.0,0,0
11526,Corey Yuen Kwai,DOA: Dead or Alive,2006-09-07,0.0228720952380952,21000000,480314
11527,Zhang Yimou,Curse of the Golden Flower,2006-12-21,0.0,110,0
11528,Jens Lien,The Bothersome Man,2006-05-26,0.0,0,0
11529,Woody Allen,Don't Drink the Water,1994-12-18,0.0,0,0
11530,Steven Soderbergh,The Good German,2006-12-08,0.184840875,32000000,5914908
11531,Ali Selim,Sweet Land,2005-10-21,0.0,0,0
11532,Clint Eastwood,Letters from Iwo Jima,2006-12-19,3.614380421052632,19000000,68673228
11533,Norman Taurog,Presenting Lily Mars,1943-04-29,0.0,0,0
11534,Glen Morgan,Black Christmas,2006-12-25,2.390094555555556,9000000,21510851
11535,Yvette Kaplan,Happily N'Ever After,2006-09-14,0.8103357021276596,47000000,38085778
11536,Irwin Winkler,Home of the Brave,2006-12-15,0.0,12000000,0
11537,Les Mayfield,Code Name: The Cleaner,2007-01-05,0.51687385,20000000,10337477
11538,Sylvain White,Stomp the Yard,2007-05-16,5.808547923076923,13000000,75511123
11539,Chris Noonan,Miss Potter,2006-12-03,1.1692747,30000000,35078241
11540,Luc Besson,Arthur and the Invisibles,2006-12-13,1.255165534883721,86000000,107944236
11541,Jang Yoon-hyeon,Tell Me Something,1999-11-13,0.0,0,0
11542,Katherine Brooks,Loving Annabelle,2006-03-08,0.0,900000,0
11543,Joe Nussbaum,American Pie Presents: The Naked Mile,2006-12-07,0.0,0,0
11544,Pablo Trapero,Rolling Family,2004-09-06,0.0,0,0
11545,Jacques Demy,The Young Girls of Rochefort,1967-03-08,0.0,0,0
11546,Wim Wenders,Alice in the Cities,1974-05-17,0.0,0,0
11547,Henry King,David and Bathsheba,1951-08-10,0.0,0,0
11548,Kelly Reichardt,Old Joy,2006-01-01,0.0,300000,0
11549,Feng Xiaogang,The Banquet,2006-09-14,0.0,0,0
11550,Roger Michell,Venus,2006-09-02,0.0,0,0
11551,Rajeev Virani,My Bollywood Bride,2006-01-14,0.0,0,0
11552,Emilio Maillé,Rosario Tijeras,2005-08-12,0.0,0,0
11553,Frank Capra,American Madness,1932-08-04,0.0,0,0
11554,Julien Duvivier,The Return of Don Camillo,1953-06-05,0.0,0,0
11555,Julien Duvivier,Don Camillo,1952-03-28,0.0,0,0
11556,Pen-Ek Ratanaruang,Invisible Waves,2006-03-02,0.0,0,0
11557,Antony Cordier,Cold Showers,2005-05-14,0.0,0,0
11558,Xavier Giannoli,The Singer,2006-09-13,0.0,0,0
11559,Michael Katleman,Primeval,2007-01-12,inf,0,10597734
11560,Nick Cassavetes,Alpha Dog,2006-01-27,inf,0,15309302
11561,Dave Meyers,The Hitcher,2007-01-19,2.5399945,10000000,25399945
11562,Karen Moncrieff,The Dead Girl,2006-11-07,0.0,0,0
11563,Jean Cocteau,Testament of Orpheus,1960-02-18,0.0,0,0
11564,Steven R. Monroe,House Of 9,2005-01-01,0.0,6000000,0
11565,Curtis Bernhardt,A Stolen Life,1946-07-06,0.0,0,0
11566,Susanne Bier,After the Wedding,2006-02-24,0.0,0,0
11567,Kim Ki-duk,Time,2006-06-30,inf,0,14742
11568,Philip Gröning,Into Great Silence,2005-09-04,0.0,0,0
11569,Heinz Dunkhase,Dinner for One,1963-06-08,0.0,0,0
11570,Georgia Lee,Red Doors,2005-04-22,0.0,0,0
11571,Luke Wilson,The Wendell Baker Story,2005-08-03,0.0,0,0
11572,David Schmoeller,Crawlspace,1986-05-21,0.0,0,0
11573,Nobuhiro Yamashita,Linda Linda Linda,2005-07-23,0.0,0,0
11574,William Dieterle,Juarez,1939-06-10,0.0,0,0
11575,Theo Angelopoulos,The Weeping Meadow,2004-02-20,0.0,0,0
11576,Věra Chytilová,Daisies,1966-12-30,0.0,0,0
11577,Gábor Csupó,Bridge to Terabithia,2007-02-16,2.2931177166666665,60000000,137587063
11578,Frank Sebastiano,Beer League,2006-09-15,0.0,0,0
11579,Conor McMahon,Dead Meat,2004-10-01,0.0,0,0
11580,Charles Burnett,Killer of Sheep,1978-11-14,3.62222,100000,362222
11581,Jean Cocteau,The Blood of a Poet,1932-01-20,0.0,0,0
11582,Jim Hickey,Dirty Sanchez: The Movie,2006-09-22,0.0,0,0
11583,Brad Mirman,Shadows in the Sun,2005-05-12,0.0,0,0
11584,Nobuhiko Ôbayashi,House,1977-08-26,0.0,0,0
11585,Clayton Jacobson,Kenny,2006-08-17,inf,0,7778177
11586,Michael Apted,49 Up,2005-09-15,inf,0,238073
11587,Adrienne Shelly,Waitress,2007-05-25,11.089715,2000000,22179430
11588,Drew Heriot,The Secret,2006-03-26,0.0,0,0
11589,Joshua Michael Stern,Neverwas,2005-09-09,0.0,0,0
11590,Michael Apted,Seven Up!,1964-05-05,0.0,0,0
11591,Michael Apted,7 Plus Seven,1970-01-01,0.0,0,0
11592,Yasujirō Ozu,Record of a Tenement Gentleman,1947-05-21,0.0,0,0
11593,Su-chang Kong,R-Point,2004-08-13,0.0,0,0
11594,Susannah Grant,Catch and Release,2006-10-20,0.64633948,25000000,16158487
11595,Joe Carnahan,Smokin' Aces,2006-12-09,3.359052647058824,17000000,57103895
11596,Katja von Garnier,Blood and Chocolate,2007-01-26,0.0,0,0
11597,Jason Friedberg,Epic Movie,2007-01-25,4.3432782,20000000,86865564
11598,Danny Pang,The Messengers,2007-02-02,0.06935375,16000000,1109660
11599,Michael Lehmann,Because I Said So,2007-02-02,inf,0,69485490
11600,Peter Webber,Hannibal Rising,2007-02-06,1.64339768,50000000,82169884
11601,Brian Robbins,Norbit,2007-02-08,1.5945601166666667,60000000,95673607
11602,William Beaudine,Billy the Kid vs. Dracula,1966-01-01,0.0,0,0
11603,Yasuzô Masumura,Red Angel,1966-10-01,0.0,0,0
11604,Lars von Trier,The Boss of It All,2006-09-21,0.0,3000000,0
11605,Billy Corben,Cocaine Cowboys,2006-04-26,inf,0,163000
11606,Todd Robinson,Lonely Hearts,2006-04-30,0.0,0,0
11607,Jan Pinkava,Ratatouille,2007-06-22,4.15815212,150000000,623722818
11608,Laurence Malkin,Five Fingers,2006-05-01,0.0,0,0
11609,Takashi Miike,Izo,2004-08-21,0.0,0,0
11610,Jacques Demy,Lola,1961-03-03,0.0,0,0
11611,Fred Wolf,The Point!,1971-02-02,0.0,0,0
11612,Isabel Coixet,"Paris, je t'aime",2006-05-16,0.3736436153846154,13000000,4857367
11613,Michael Polish,The Astronaut Farmer,2006-10-15,0.8562222307692308,13000000,11130889
11614,Jannik Johansen,Murk,2005-10-07,0.0,0,0
11615,Adam McKay,"Wake Up, Ron Burgundy: The Lost Movie",2004-12-28,0.0,0,0
11616,Wilson Yip,SPL: Kill Zone,2005-11-18,0.0,0,0
11617,Alberto Lattuada,Mafioso,1962-10-24,0.0,0,0
11618,Nick Hurran,It's a Boy Girl Thing,2006-12-26,0.4764796129032258,15500000,7385434
11619,Michael Sarne,Myra Breckinridge,1970-06-24,0.6,5000000,3000000
11620,Gary Sherman,Vice Squad,1982-01-22,0.0,0,0
11621,Michael Hegner,The Ugly Duckling and Me!,2006-09-10,0.0,0,0
11622,Ariel Vromen,Danika,2006-01-01,0.0,0,0
11623,Rachid Bouchareb,Days of Glory,2006-05-25,1.5837035172413794,14500000,22963701
11624,Charles Jarrott,The Strange Case of Dr. Jekyll and Mr. Hyde,1968-01-07,0.0,0,0
11625,Gulshat Omarova,Schizo,2004-01-01,0.0,0,0
11626,Andrei Konchalovsky,The Odyssey,1997-05-18,0.0,0,0
11627,Simon Brand,Unknown,2006-11-03,0.9022237837837838,3700000,3338228
11628,Paul McCartney,Magical Mystery Tour,1967-12-25,0.0,0,0
11629,Carlene Cordova,Ringers - Lord of the Fans,2005-01-21,0.0,0,0
11630,Kenji Mizoguchi,Sisters of the Gion,1936-10-15,0.0,0,0
11631,Mike Clattenburg,Trailer Park Boys: The Movie,2006-10-06,0.7667014,5000000,3833507
11632,Mark Steven Johnson,Ghost Rider,2007-02-16,2.079439936363636,110000000,228738393
11633,Billy Ray,Breach,2007-02-12,inf,0,33231264
11634,Tyler Perry,Daddy's Little Girls,2007-02-14,3.1609243,10000000,31609243
11635,Marc Lawrence,Music and Lyrics,2007-02-09,3.64741055,40000000,145896422
11636,Joel Schumacher,The Number 23,2007-02-23,2.5855605,30000000,77566815
11637,Ben Garant,Reno 911!: Miami,2007-02-23,2.0342161,10000000,20342161
11638,Craig Brewer,Black Snake Moan,2006-12-08,0.7269230666666666,15000000,10903846
11639,Sue Kramer,Gray Matters,2006-10-21,0.0,0,0
11640,Eric Khoo,Be with Me,2005-05-12,0.0,0,0
11641,Keoni Waxman,Shooting Gallery,2005-12-26,0.0,0,0
11642,Stanisław Bareja,What Will You Do When You Catch Me?,1978-12-08,0.0,0,0
11643,Rintaro,The Dagger of Kamui,1985-01-01,0.0,0,0
11644,Steven Cantor,loudQUIETloud: A Film About the Pixies,2006-04-21,0.0,0,0
11645,Çağan Irmak,My Father and My Son,2005-11-18,0.0,0,0
11646,George Hickenlooper,Factory Girl,2006-12-29,0.0,7000000,0
11647,Tinto Brass,Salon Kitty,1976-03-02,0.0,0,0
11648,Christian Duguay,Human Trafficking,2005-10-24,0.0,15000000,0
11649,Menhaj Huda,Kidulthood,2006-03-03,0.1659959758551308,994000,165000
11650,David Nelson,Like Mike 2: Streetball,2006-06-06,0.0,5000000,0
11651,Gordon Douglas,Lady in Cement,1968-11-19,0.0,0,0
11652,James Muro,Street Trash,1987-05-09,0.0,0,0
11653,Seijun Suzuki,Fighting Elegy,1966-09-09,0.0,0,0
11654,Francesco Rosi,Salvatore Giuliano,1962-02-28,0.0,0,0
11655,Robert Day,First Man Into Space,1959-02-01,0.0,0,0
11656,David E. Durston,I Drink Your Blood,1970-01-01,0.0,0,0
11657,Edgar Wright,Hot Fuzz,2007-02-14,6.714481166666666,12000000,80573774
11658,Bernard Girard,Dead Heat on a Merry-Go-Round,1966-10-12,0.0,2000000,0
11659,Liu Chia-Liang,The 36th Chamber of Shaolin,1978-02-02,0.0,0,0
11660,Karl Freund,Mad Love,1935-07-12,0.0,0,0
11661,Tom Laughlin,The Trial of Billy Jack,1974-11-13,0.0,7,0
11662,Nicholas Ray,The Savage Innocents,1960-03-20,0.0,0,0
11663,Joel Bender,Karla,2006-01-20,0.0,0,0
11664,Paolo Sorrentino,The Consequences of Love,2004-09-24,0.0,0,0
11665,Emanuele Crialese,Golden Door,2006-09-22,0.0,0,0
11666,Marcelo Piñeyro,Kamchatka,2002-10-17,0.0,0,0
11667,Jacques Tourneur,The Leopard Man,1943-05-08,0.0,0,0
11668,Daniel Burman,Family Law,2006-03-23,0.0,0,0
11669,Olle Hellbom,Emil in Lonneberga,1971-12-04,0.0,0,0
11670,Chris Gerolmo,Citizen X,1995-02-25,0.0,0,0
11671,David Mallet,Cats,1998-10-05,0.0,0,0
11672,Pier Paolo Pasolini,The Canterbury Tales,1972-07-01,0.0,0,0
11673,Maren Ade,The Forest for the Trees,2004-09-16,0.0,0,0
11674,Lee Tamahori,Next,2007-04-24,1.086669157142857,70000000,76066841
11675,Anthony Minghella,Breaking and Entering,2006-12-15,inf,0,8974829
11676,André Téchiné,Changing Times,2004-01-01,0.0,0,0
11677,Christopher Dillon Quinn,God Grew Tired of Us,2007-01-12,0.0,0,0
11678,James Longley,Iraq in Fragments,2006-01-21,inf,0,202000
11679,Michael Apted,Amazing Grace,2006-09-16,0.0,0,0
11680,Michele Placido,Romanzo criminale,2005-09-30,5.927587125405355,818418,4851244
11681,Tim Sullivan,2001 Maniacs,2005-05-12,0.0,3000000,0
11682,Brian De Palma,Wise Guys,1986-04-17,0.651958923076923,13000000,8475466
11683,Christopher Leitch,Teen Wolf Too,1987-11-20,0.0,0,0
11684,Bernardo Bertolucci,The Grim Reaper,1962-09-19,0.0,0,0
11685,Robert Patton-Spruill,Body Count,1998-04-28,0.0,0,0
11686,David Fincher,Zodiac,2007-03-02,1.3043986769230769,65000000,84785914
11687,Nicolas Winding Refn,Pusher III: I'm the Angel of Death,2005-08-22,0.0,0,0
11688,Mikko Niskanen,Eight Deadly Shots,1972-04-19,0.0,0,0
11689,Richard Compton,Babylon 5: The Gathering,1993-02-22,0.0,0,0
11690,Patrick Lussier,White Noise 2: The Light,2007-01-05,0.0,0,0
11691,Maya Deren,Meshes of the Afternoon,1943-01-01,0.0,275,0
11692,Walt Becker,Wild Hogs,2007-03-02,inf,0,253625427
11693,John Penney,Zyzzyx Road,2006-02-25,1.5e-05,2000000,30
11694,Mike Binder,Man About Town,2006-06-08,0.0,0,0
11695,Aleksey Fedorchenko,First on the Moon,2005-09-25,0.0,0,0
11696,Miguel Courtois,Wolf,2004-11-05,0.0,0,0
11697,Howard Zieff,Unfaithfully Yours,1984-02-10,0.0,0,0
11698,Fred Barzyk,The Lathe of Heaven,1980-01-01,0.0,0,0
11699,Toby Shelton,Atlantis: Milo's Return,2003-02-25,0.0,0,0
11700,William Wyler,The Westerner,1940-09-18,0.0,0,0
11701,Michael O. Sajbel,The Ultimate Gift,2006-10-20,0.0,0,0
11702,Zack Snyder,300,2006-12-09,6.501698753846154,65000000,422610419
11703,Nacho Cerdà,The Abandoned,2006-09-11,0.0,0,0
11704,Joseph L. Mankiewicz,Julius Caesar,1953-06-04,0.0,0,0
11705,Henry Koster,Three Smart Girls,1936-12-20,0.0,0,0
11706,Irving Pichel,Something in the Wind,1947-07-21,0.0,0,0
11707,Tom Vaughan,Starter for 10,2006-09-13,2.625,8,21
11708,Robert Shaye,The Last Mimzy,2007-02-09,inf,0,27297451
11709,Pierre Salvadori,Priceless,2006-12-13,inf,0,2036198
11710,Bong Joon-ho,The Host,2006-07-27,8.044513,11000000,88489643
11711,Elia Kazan,America America,1963-12-15,0.0,0,0
11712,Amos Gitai,Kippur,2000-09-07,0.0,0,0
11713,Philip Haas,The Situation,2006-01-01,0.0,0,0
11714,Roy London,Diary of a Hitman,1991-11-20,inf,0,31815
11715,Henry Koster,Flower Drum Song,1961-11-09,0.0,0,0
11716,Julian Jarrold,Becoming Jane,2007-03-02,2.2613134545454545,16500000,37311672
11717,Chris Gorak,Right at Your Door,2006-01-23,inf,0,2043704
11718,Tony Richardson,A Taste of Honey,1961-09-01,0.0,0,0
11719,Mira Nair,The Namesake,2006-09-02,1.6782363333333334,12000000,20138836
11720,Pete Travis,Omagh,2004-05-22,0.0,0,0
11721,Masahiro Shinoda,Samurai Spy,1965-07-10,0.0,0,0
11722,Josef von Sternberg,The Last Command,1928-01-22,0.0,0,0
11723,Chris Rock,I Think I Love My Wife,2007-03-16,1.1996586363636363,11000000,13196245
11724,Steve Taylor,The Second Chance,2006-01-01,0.0,1200000,0
11725,Sidney Lumet,The Fugitive Kind,1960-04-14,0.0,0,0
11726,Michael J. Bassett,Wilderness,2006-08-11,0.0,0,0
11727,David Carreras,Hipnos,2004-10-08,0.0,0,0
11728,Mennan Yapo,Premonition,2007-02-08,4.2073416,20000000,84146832
11729,James Wan,Dead Silence,2007-03-16,1.11087035,20000000,22217407
11730,Mike Binder,Reign Over Me,2007-03-23,1.1111154,20000000,22222308
11731,Sunu Gonera,Pride,2007-03-23,0.0,0,0
11732,Antoine Fuqua,Shooter,2007-03-22,1.568803213114754,61000000,95696996
11733,Martin Weisz,The Hills Have Eyes 2,2007-03-22,0.0,15000000,0
11734,Kevin Munroe,TMNT,2007-03-23,2.8120292647058824,34000000,95608995
11735,Andrey Kravchuk,The Italian,2005-09-21,0.0,0,0
11736,Ray Lawrence,Jindabyne,2006-07-20,0.0,0,0
11737,Bernardo Bertolucci,The Spider's Stratagem,1970-10-25,0.0,0,0
11738,Sergei Bodrov Jr.,Nomad: The Warrior,2005-07-17,0.0,25000000,0
11739,Anthony Mann,The Tall Target,1951-08-17,0.0,0,0
11740,Danièle Thompson,Avenue Montaigne,2006-02-15,0.0,0,0
11741,Paul Verhoeven,Black Book,2006-09-01,1.2472889523809525,21000000,26193068
11742,Yôji Yamada,Love and Honor,2006-12-01,0.0,0,0
11743,Jason Matzner,Dreamland,2006-01-23,0.0,0,0
11744,Akira Kurosawa,The Quiet Duel,1949-03-19,0.0,0,0
11745,Mohsen Makhmalbaf,A Moment of Innocence,1996-08-13,inf,0,37598
11746,Mohsen Makhmalbaf,The Silence,1998-09-06,0.0,0,0
11747,Richard Linklater,It's Impossible to Learn to Plow by Reading Books,1988-01-01,0.0,3000,0
11748,Mark Anthony Galluzzo,R.S.V.P.,2002-01-15,0.0,0,0
11749,Melville Shavelson,The Five Pennies,1959-01-01,0.0,0,0
11750,Nae Caranfil,Philanthropy,2002-03-15,0.0,0,0
11751,Charles Vidor,Ladies in Retirement,1941-09-09,0.0,0,0
11752,Cédric Klapisch,"Not For, or Against (Quite the Contrary)",2003-03-05,0.0,10000000,0
11753,Vidhu Vinod Chopra,Eklavya: The Royal Guard,2007-01-01,0.0,0,0
11754,Dagur Kári,Dark Horse,2005-05-13,0.0,0,0
11755,Béla Tarr,Damnation,1988-10-20,0.0,0,0
11756,Richard Fleischer,His Kind of Woman,1951-08-29,0.0,0,0
11757,Charles Jarrott,Turn of Faith,2002-06-05,0.0,0,0
11758,Finn Taylor,The Darwin Awards,2006-07-05,0.0,0,0
11759,Douglas Sirk,The Tarnished Angels,1957-11-21,0.0,0,0
11760,Scott Frank,The Lookout,2007-03-09,0.335439375,16000000,5367030
11761,Josh Gordon,Blades of Glory,2007-03-30,0.0,53000000,0
11762,Helen Ahlsson,Armbryterskan från Ensamheten,2004-10-01,0.0,0,0
11763,Sara Johnsen,Kissed by Winter,2005-11-10,0.0,0,0
11764,Steve Carr,Are We Done Yet?,2007-04-04,0.0,0,0
11765,Stephen Hopkins,The Reaping,2007-04-05,1.569276475,40000000,62771059
11766,Todd Holland,Firehouse Dog,2007-04-04,0.0,0,0
11767,Stephen J. Anderson,Meet the Robinsons,2007-03-23,1.12888652,150000000,169332978
11768,Paul Rachman,American Hardcore,2006-09-22,0.0,0,0
11769,Enzo G. Castellari,The Inglorious Bastards,1978-02-08,0.0,0,0
11770,David Von Ancken,Seraphim Falls,2006-09-13,0.0664615,18000000,1196307
11771,John Cromwell,Double Harness,1933-07-21,0.0,0,0
11772,Danny Boyle,Sunshine,2007-04-05,0.64035606,50000000,32017803
11773,John Ford,Judge Priest,1934-09-28,0.0,0,0
11774,Agnieszka Holland,Copying Beethoven,2006-09-10,0.0,11000000,0
11775,Valérie Lemercier,Royal Palace,2005-11-23,0.0,0,0
11776,Lasse Hallström,The Hoax,2006-10-14,0.47089844,25000000,11772461
11777,Joseph L. Mankiewicz,No Way Out,1950-08-16,0.0,0,0
11778,Theo Angelopoulos,Ulysses' Gaze,1995-05-24,0.0,0,0
11779,Gérard Pirès,Sky Fighters,2005-10-15,0.0,19610000,0
11780,Dino Risi,Scent of a Woman,1974-12-25,0.0,0,0
11781,Koki Mitani,"Welcome Back, Mr. McDonald",1997-11-08,0.0,0,0
11782,Chuck Jones,How the Grinch Stole Christmas!,1966-12-18,0.0,315000,0
11783,Keiichi Sugiyama,Origin: Spirits of the Past,2006-01-07,0.0,0,0
11784,Miloš Forman,Goya's Ghosts,2006-11-08,0.18896164,50000000,9448082
11785,James Foley,Perfect Stranger,2007-04-12,1.2022470762398223,60795000,73090611
11786,D.J. Caruso,Disturbia,2007-04-12,5.8880067,20000000,117760134
11787,Marcus Nispel,Pathfinder,2007-01-11,0.6849524666666666,45000000,30822861
11788,Dave Willis,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007-04-13,0.0,0,0
11789,Albert Lewin,The Private Affairs of Bel Ami,1947-04-25,0.0,0,0
11790,Ulu Grosbard,Straight Time,1978-03-18,0.0,0,0
11791,Luis Buñuel,Tristana,1970-03-29,0.0,0,0
11792,Maria Maggenti,Puccini for Beginners,2006-01-01,inf,0,89417
11793,Wayne Beach,Slow Burn,2005-09-12,0.079846129032258,15500000,1237615
11794,Andy Cheng,Redline,2007-04-13,0.0,26000000,0
11795,Lou Ye,Summer Palace,2006-05-18,0.0,0,0
11796,Emile de Antonio,In the Year of the Pig,1969-02-26,0.0,0,0
11797,John Huston,The MacKintosh Man,1973-01-01,0.0,0,0
11798,Olivier Dahan,La Vie en Rose,2007-02-08,0.0,0,0
11799,Stanisław Bareja,Man - Woman Wanted,1973-04-22,0.0,0,0
11800,Ed Stone,Griffin & Phoenix,2006-09-12,0.0,0,0
11801,Dan O'Bannon,The Resurrected,1991-10-06,0.0,0,0
11802,Bruce Beresford,The Contract,2006-04-05,0.221968,25000000,5549200
11803,Gregory Hoblit,Fracture,2007-04-20,inf,0,91354215
11804,Jean-Baptiste Andrea,Big Nothing,2006-12-01,0.0,0,0
11805,Hong Sang-soo,Woman on the Beach,2006-08-31,0.0,0,0
11806,Stuart Heisler,Smash-Up: Story of a Woman,1947-03-01,0.0,0,0
11807,Chu Yen-ping,Island of Fire,1990-01-01,0.0,0,0
11808,Nimród Antal,Vacancy,2007-04-20,1.8579286842105265,19000000,35300645
11809,Edward D. Wood Jr.,Night of the Ghouls,1959-01-01,0.0,0,0
11810,Michael Haneke,Benny's Video,1993-04-14,0.0,0,0
11811,Jon Kasdan,In the Land of Women,2007-04-16,1.75,10000000,17500000
11812,Debbie Isitt,Confetti,2006-05-05,0.0,0,0
11813,Edward Dmytryk,The Devil Commands,1941-02-03,0.0,0,0
11814,Steve Bendelack,Mr. Bean's Holiday,2007-03-22,9.18945376,25000000,229736344
11815,Grace Lee,The Grace Lee Project,2005-03-11,inf,0,5965
11816,Lenny Abrahamson,Adam & Paul,2004-08-27,0.0,0,0
11817,David S. Goyer,The Invisible,2007-04-27,0.8936704333333333,30000000,26810113
11818,Harvey Glazer,Kickin' It Old Skool,2007-04-27,0.0,0,0
11819,Scott Wiper,The Condemned,2007-04-27,inf,0,8642858
11820,Sam Raimi,Spider-Man 3,2007-05-01,3.4529907984496124,258000000,890871626
11821,Curtis Hanson,Lucky You,2007-05-01,inf,0,5761917
11822,Kirk R. Thatcher,It's a Very Merry Muppet Christmas Movie,2002-11-29,0.0,0,0
11823,Anthony Mann,The Furies,1950-08-16,0.0,0,0
11824,Michael Apted,21 Up,1977-01-01,0.0,0,0
11825,William Tyler Smith,Kiss Me Again,2006-04-28,0.0,0,0
11826,Hirokazu Koreeda,Hana,2006-06-02,0.0,0,0
11827,Rob Stewart,Sharkwater,2006-09-11,0.0,0,0
11828,Cristian Mungiu,West,2002-05-23,0.0,0,0
11829,Jeff Lipsky,Flannel Pajamas,2006-11-17,0.0,0,0
11830,Goro Miyazaki,Tales from Earthsea,2006-07-29,3.090909090909091,22000000,68000000
11831,Jules Dassin,Thieves' Highway,1949-10-10,0.0,0,0
11832,William Lustig,Maniac Cop,1988-05-13,0.0,1100000,0
11833,Mike White,Year of the Dog,2007-04-13,0.0,0,0
11834,Robby Henson,Thr3e,2006-12-01,0.0,0,0
11835,Charles Binamé,The Rocket: The Legend of Rocket Richard,2005-10-25,0.252376125,8000000,2019009
11836,Katherine Dieckmann,Diggers,2006-01-01,0.0,0,0
11837,Jesse Peretz,The Ex,2006-12-01,inf,0,3091922
11838,Hong Sang-soo,Woman Is the Future of Man,2004-05-14,0.0,0,0
11839,Satoshi Kon,Paprika,2006-10-01,inf,0,944915
11840,Douglas Mackinnon,The Flying Scotsman,2006-08-16,0.0,0,0
11841,George Cukor,Sylvia Scarlett,1935-12-11,0.0,0,0
11842,Samuel Fuller,Fixed Bayonets!,1951-11-21,0.0,0,0
11843,Apichatpong Weerasethakul,Syndromes and a Century,2006-08-31,0.0,0,0
11844,Andrea Arnold,Red Road,2006-05-20,inf,0,1128345
11845,Will Vinton,The Adventures of Mark Twain,1985-03-01,inf,0,849915
11846,Samira Makhmalbaf,At Five in the Afternoon,2003-05-16,0.0,0,0
11847,Timur Bekmambetov,Day Watch,2006-01-01,9.253027857142856,4200000,38862717
11848,Shane Meadows,This Is England,2006-09-12,3.43552268907563,2380000,8176544
11849,Derek Yee Tung-Sing,One Night in Mongkok,2004-05-15,0.0,0,0
11850,Sarah Polley,Away from Her,2006-09-11,0.0,0,0
11851,Judd Apatow,Knocked Up,2007-06-01,7.3025506,30000000,219076518
11852,Adam Shankman,Hairspray,2007-07-13,1.80900016,50000000,90450008
11853,Douglas Gordon,Zidane - A 21st Century Portrait,2006-05-23,0.0,0,0
11854,Sammo Hung,The Prodigal Son,1981-11-10,0.0,0,0
11855,Juan Carlos Fresnadillo,28 Weeks Later,2007-04-26,4.282562666666666,15000000,64238440
11856,Garry Marshall,Georgia Rule,2007-05-11,0.0,20000000,0
11857,C.B. Harding,Delta Farce,2007-05-11,0.0,12,0
