,production_companies,revenue
9411,"Europa Corp, TF1 Films Production, Filmauro, Canal+, Studio Légende, Epica Ltd.",0
9412,"Green Moon Productions, HBO Films",0
9413,Altavista Films,0
9414,,0
9415,"Moviola Film och Television AB, Nordisk Film/TV, Skinworxxx",0
9416,Sandstorm Films,0
9417,AMV Production,0
9418,Fukasaku-gumi,0
9419,,0
9420,"Paramount Pictures, Scott Rudin Productions, Nickelodeon Movies, DreamWorks Pictures, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG, Parkes+MacDonald Image Nation",209073645
9421,Media Asia Films,0
9422,,0
9423,M&M Productions,0
9424,,0
9425,,0
9426,Solar Films inc.,0
9427,"Gerber Pictures, 2003 Productions, TF1 Films Production, Canal+, Warner Bros., Région Ile-de-France, Tapioca Films, Centre National de la Cinématographie (CNC), Région Bretagne, Région Poitou-Charentes",0
9428,"Cinemasia, Bohemian Films",0
9429,,0
9430,"Corazón International, Arte, Panfilm, Wüste Filmproduktion, Norddeutscher Rundfunk (NDR), Bavaria Film International",11030861
9431,"Bandai Visual Company, Production I.G.",9789651
9432,Dharma Productions Dillywood,13200241
9433,"Studio Ghibli, Hakuhodo DY Media Partners, Mitsubishi",522911
9434,"Chartoff Productions, Merlin Films",163536
9435,Millennium Films,0
9436,"Alta Producción, Producciones La Iguana S.L.",0
9437,,0
9438,"Tag Spledour and Films, Bronze Age Films",0
9439,Shochiku Company,7338987
9440,"Emperor Multimedia Group (EMG), Million Channel Ltd.",0
9441,"TLA Releasing, Media Principia",0
9442,"Clap Filmes, R&C Produzioni, AFS Film",15530077
9443,Copperheart Entertainment,0
9444,Warner Bros. Television,0
9445,Spleis AS,0
9446,"Alliance Atlantis Communications, Téléfilm Canada, The Harold Greenberg Fund, Canadian Film or Video Production Tax Credit (CPTC), Movie Central Network, Ego Film Arts, MuchMusic, Government of Ontario: Ontario Film and Television Tax Credit Program",460978
9447,"GFT Entertainment, Century Time (H.K.) Ltd., GFT Beast Films Inc.",0
9448,,0
9449,,0
9450,Shochiku Company,0
9451,Creative Light Entertainment,0
9452,"Times In, DUEL Film Partners, Micott",0
9453,"BBC Films, Isle of Man Film, Little Bird Productions, Grosvenor Park Productions",0
9454,"Les Films Alain Sarde, Zoulou Films, Assise Productions, France 3 Cinema",0
9455,"Down to the Bone Productions, Susie Q Productions",0
9456,"France 2 Cinéma, Gemini Films, Madragoa Filmes, Mikado Film",0
9457,Oz Company,0
9458,"Egg Films, Show East",14980005
9459,"Gimages, France3 Cinéma, Alicéléo",0
9460,All American Pictures,0
9461,"Lions Gate Films, 49 Film",0
9462,"Mainichi Shinbunsha, Shôchiku Eiga, Culture Publishers (CP), Twins Japan, WoWow",0
9463,"Sveriges Television (SVT), S/S Fladen Film, Buena Vista International (Sweden) AB, Hustruskolan AB, Canal+ Television AB",0
9464,,0
9465,,0
9466,Kadokawa Eiga K.K.,0
9467,Wolfe Releasing,0
9468,Shogakukan Production,0
9469,"Section Eight, Mandalay Pictures, VIP 3 Medienfonds, 2929 Productions, Rising Star, VIP 2 Medienfonds, Warner Independent Pictures (WIP)",21126225
9470,Mission Pictures,6584159
9471,"Rhombus Media, Buffalo Gal Pictures, Ego Film Arts",0
9472,"Startroop Pictures Inc., Tippett Studio",0
9473,"Globo Filmes, Casa de Cinema de Porto Alegre",0
9474,"Nikkatsu, Kadokawa Shoten Publishing Co. Ltd., Oz Company, Xanadeux Company, Pioneer L.D.C, Tokyo Theaters Company, Aozora Investments",0
9475,Devotion Films,0
9476,"Daft Life Ltd. Co., Toei Animation",0
9477,"Baa-Ram-Ewe, Sahamongkolfilm Co.",15
9478,Media Asia Films,0
9479,"Canal Plus, Sogecine, Himenóptero, Eurimages, Televisión Española (TVE), Union Générale Cinématographique (UGC), Televisión de Galicia (TVG) S.A., Ministerio de Cultura, Sogepaq, Eyescreen S.r.l., Filmanova",38535221
9480,"Lions Gate Entertainments, Province of British Columbia Production Services Tax Credit, British Columbia Film Commission",0
9481,"Gracie Films, Columbia Pictures Corporation",55041367
9482,Happy Endings A/S,0
9483,,0
9484,"France 2 Cinéma, Galatée Films, Pathé Renn Productions, Novo Arturo Films, Vega Film",0
9485,Excel Entertainment,0
9486,"Filmlance International AB, Svenska Filminstitutet (SFI), Maipo Film AS",0
9487,Hochschule für Fernsehen und Film (HFF),0
9488,"Universal Pictures, StudioCanal, Mirage Enterprises, Working Title Films, Misher Films, Motion Picture JOTA Produktions",162944923
9489,Plunge Pictures LLC,54667954
9490,"Filmax, Future Films",0
9491,One Hundred Years of Film Company,0
9492,,0
9493,Media Asia Films,0
9494,"MMG Film & TV Production, PVPictures, TROS Bridge Rights",0
9495,"Stick Figure Productions, Independent Film Channel (IFC)",0
9496,"Dean River Productions, Bobby Jones Films LLC, LIFE(n), McDongall Films",0
9497,"Sony Pictures Classics, Marv Films",11850214
9498,,0
9499,Ren Film,0
9500,,0
9501,"Twentieth Century Fox Film Corporation, Davis Entertainment, Aldrich Group, Optional Pictures",21009180
9502,Whitewater Films,603943
9503,"DreamWorks, BenderSpink, Parkes+MacDonald Image Nation",161451538
9504,,0
9505,"Gospel of John Ltd., Toronto Film Studios, Visual Bible International",4069090
9506,"Ibermedia, Televisión Española (TVE), Tornasol Films, Canal+ España, Wood Producciones S.A.",0
9507,Big Picture Media Corporation,4500000
9508,,0
9509,,0
9510,,0
9511,"Scottish Screen, Matador Pictures, Tornasol Films, Sixteen Films, Cinéart, Bianca Film, Glasgow Film Office",0
9512,"CTB Film Company, Pygmalion Production",1600000
9513,"GF Studios AB, Lefwander Kapitalförvaltning AB, Sonet Film AB",0
9514,,0
9515,,0
9516,40 Acres & A Mule Filmworks,365134
9517,Amuse Pictures,0
9518,"IFMD Ltd., Little Bird Productions",0
9519,Vertigo Films,0
9520,Showbox Entertainment,15
9521,"Nina Saxon Film Design, HBO Films",0
9522,,0
9523,"Brightlight Pictures, Chum City",0
9524,,0
9525,"filmkombinat Nordost GmbH & Co. KG, Zweites Deutsches Fernsehen (ZDF)",0
9526,"HBO/Cinemax Documentary, thinkfilm, Creative Visions Productions, Red Light Films, Sundance Institute Documentary Fund",3515061
9527,,127067
9528,Possible Films,0
9529,,3166000
9530,,0
9531,"E-Wolf, Seventh Art Releasing",0
9532,"Columbia TriStar, Original Film, Newmarket Capital Group",0
9533,,159429
9534,,0
9535,Schiwago Film,0
9536,Lord of the Wind,10000000
9537,Coproducción Hong Kong-Tailandia-Singapur,0
9538,"Thousand Words, Warner Independent Pictures (WIP), Detour Filmproduction, Section Eight Productions",7659918
9539,,1530216
9540,,5331377
9541,Moving Train Productions,0
9542,,0
9543,,0
9544,,0
9545,,0
9546,"Code Entertainment, Neverland Films, The Convex Group, Red Rose Productions LLC",0
9547,"Splendid Pictures, Artisan Entertainment, Pierce/Williams Entertainment, John Brister Productions",0
9548,"BoSD Films LLC, Bods Film LLC",0
9549,"Internacional Films Espagnol, Alpine Productions, Peppercorn-Wormser Inc",0
9550,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions",216763646
9551,RKO Radio Pictures,0
9552,Paramount Pictures,0
9553,,0
9554,Metro-Goldwyn-Mayer (MGM),0
9555,,0
9556,Homegreen Films,0
9557,"Lions Gate Films, United Artists, Industrial Development Corporation of South Africa, Endgame Entertainment, Miracle Pictures, Sixth Sense Productions, Mikado Film, Inside Track Films",38000000
9558,,0
9559,Fidélité Productions,0
9560,Metro-Goldwyn-Mayer (MGM),0
9561,Metro-Goldwyn-Mayer (MGM),0
9562,"Emmepi Cinematografica, Monachia Film",0
9563,"Miramax Films, Neo Art & Logic, Weinstein Company, Dimension Films",0
9564,"Village Roadshow Pictures, The Zanuck Company, Warner Bros., Tim Burton Productions, Plan B Entertainment, Theobald Film Productions",474968763
9565,,0
9566,Salamander Film Productions,0
9567,"Kim Ki-Duk Film, Cineclick Asia",0
9568,Twentieth Century Fox Film Corporation,0
9569,"Touchstone Pictures, American Empirical Pictures",34808403
9570,"Miramax Films, Appian Way, Forward Pass, Cappa Productions, Warner Bros., Initial Entertainment Group (IEG), IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Mel's Cite du Cinema",102000000
9571,"Odyssey Entertainment, Warner Bros., Scion Films, Really Useful Films",154648887
9572,Lionsgate,0
9573,"Lee Daniels Entertainment, Dash Films",4678405
9574,Depth of Field,0
9575,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions",516642939
9576,"Monsoon Pictures, Open City Films, Anhelo Productions, Appian Way",3537961
9577,Yari Film Group,1841260
9578,Movision,0
9579,,0
9580,"Central Motion Pictures, Central Motion Pictures Corporation, Golden Harvest Productions",0
9581,"Benedict Bogeaus Production, Captain Kidd Productions Inc.",0
9582,Universal Pictures,0
9583,"Toho Company, Tokyo Broadcasting System (TBS), Amuse Pictures, Tokyo FM Broadcasting Co., Shogakukan, Hakuhodo DY Media Partners, Hori Production, Ogura Jimusyo Co., Parco Co. Ltd.",0
9584,"Twentieth Century Fox Film Corporation, Davis Entertainment, Culver Studios",0
9585,,0
9586,"Diorama Films, Independent Television Service",0
9587,"Universal Pictures, Brightlight Pictures, Endgame Entertainment, The Movie Network (TMN), Canadian Film or Video Production Tax Credit (CPTC), Province of British Columbia Film Incentive BC, Corus, Gold Circle Films, White Noise UK Ltd.",91196419
9588,Miramax Films,0
9589,New Line Cinema,0
9590,,0
9591,Paramount Pictures,0
9592,Electrascope,0
9593,"Paramount Pictures, Bryna Productions, Hal Wallis Productions",0
9594,Paramount Pictures,0
9595,Pilot Season Productions,0
9596,,0
9597,Columbia Pictures,0
9598,"Zenith Entertainment, Film Four International, Greenpoint Films",0
9599,Universal Pictures,6321392
9600,Paramount Pictures,0
9601,,0
9602,"France 2 Cinéma, Bac Films, Canal+, Studio Canal, Société Française de Production (SFP)",0
9603,,0
9604,"Beta Film, Reteitalia, TF1, Hexatel, Saban/Scherick Productions, Saban International N.V., StarCom",0
9605,"Beta Film, Reteitalia, TF1, Hexatel, Saban/Scherick Productions, Saban International N.V., StarCom",0
9606,"Beta Film, Reteitalia, TF1, Hexatel, Saban/Scherick Productions, Saban International N.V., StarCom",0
9607,"Beta Film, Reteitalia, TF1, Hexatel, Saban/Scherick Productions, Saban International N.V., StarCom",0
9608,RKO Radio Pictures,0
9609,"Prolific Films, Snakehair Productions",0
9610,"Paramount Pictures, American Playhouse, Entertainment Events",2044892
9611,"Goldcrest Films International, American Playhouse, Nepenthe Productions, Palmyra Films",0
9612,Paramount Pictures,0
9613,The Caddo Company,8000000
9614,Metro-Goldwyn-Mayer (MGM),1373728
9615,United Artists,0
9616,"Hemdale, Braunstein and Hamady Productions",0
9617,,0
9618,Paramount Pictures,0
9619,,0
9620,"American Filmworks, Cecchi Gori Pictures, Penta Entertainment, Budding Grove",4
9621,Toei Company,0
9622,TLA Releasing,0
9623,,31651
9624,Midwest Films,0
9625,Paramount Pictures,0
9626,The Filmakers,0
9627,"Academy Pictures, Erato Films, Lolafilms, Canal+ España",0
9628,"Signature Pictures, Art Linson Productions, ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I), QI Quality International GmbH & Co. KG",0
9629,Warner Bros.,16361885
9630,"DD Productions, Union Générale Cinématographique (UGC), EFVE",0
9631,"Portobello Pictures, Bavaria Film, Odyssey Entertainment, ApolloMedia Distribution, Film and Music Entertainment (F&ME), Q&Q Medien",2270658
9632,,0
9633,,0
9634,"Twentieth Century Fox Film Corporation, Bakshi Productions",9000000
9635,"Fair Film, Cecchi Gori Group",1314230
9636,,0
9637,Universal Pictures International (UPI),0
9638,Universal International Pictures (UI),0
9639,Universal Studios,0
9640,"BBC Films, Labrador Films, HBO Films, Company Pictures, The De Mann Entertainment Company, HD Vision Studios",0
9641,"Propaganda Films, The Turman-Morrissey Company, Nu Image Films",0
9642,"Toho Company, Tokyo Broadcasting System (TBS), Appleseed Film Partners, Digital Frontier, Geneon Entertainment, Mainichi Broadcasting System (MBS), Micott Basara K.K., TYO Productions",1461989
9643,Fraia Film,0
9644,"AB Svensk Filmindustri, Beta Film, Nord Art AB",0
9645,,0
9646,,0
9647,,0
9648,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises, Horseshoe Bay Productions, Elektra Productions, SAI Productions",56681566
9649,Alcon Entertainment,93772522
9650,"Paramount Pictures, MTV Films, Tollin/Robbins Productions",76669806
9651,Twentieth Century Fox Film Corporation,0
9652,Universal Pictures,0
9653,Filmways Pictures,0
9654,"Instituto Nacional de Cine y Artes Audiovisuales (INCAA), Televisión Española (TVE), Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Adolfo Aristarain, Tornasol Films S.A.",0
9655,Metro-Goldwyn-Mayer (MGM),0
9656,"Vía Digital, Telespan 2000, Telecinco, Estudios Picasso, Nimbus Film Productions, Euskal Irrati Telebisa (EITB), Mama Films",1819410
9657,China Film Co-Production Corporation,0
9658,"Canadian Film Development Corporation (CFDC), Cinépix, DAL Productions",0
9659,"Barwood Films, Warner Bros.",161000000
9660,"Les Films 21, Republic Pictures",869325
9661,"First National Pictures, Warner Bros.",0
9662,"Titanus, Les Films Marceau",0
9663,"Fandango, Rasta Films, Pegasos Film",0
9664,Metro-Goldwyn-Mayer (MGM),0
9665,RKO Radio Pictures,0
9666,,0
9667,Paramount Pictures,0
9668,"United Artists, Rene Clair Productions",0
9669,Warner Bros.,0
9670,Columbia Pictures,0
9671,"Ciné-Sud Promotion, Centre National de la Cinématographie (CNC), Fonds Sud Cinéma, Centre Cinématographique Marocain (CCM), Cinétéléfilms, Les Films Terre Africaine, Ministère des Affaires étrangères et du Développement International, Filmi Doomireew, Direction de la Cinematographie Nationale",214605
9672,"Departure Entertainment, Departure Studios, TGL Inc.",0
9673,"Sidus Pictures, CJ Entertainment, Muhan Investment",0
9674,"Twentieth Century Fox Film Corporation, Capitol Films, Hercules Films",8009329
9675,"London Film Productions, British Lion Film Corporation",0
9676,AARU Productions,0
9677,Claussen + Wöbke Filmproduktion GmbH,0
9678,"Degeto Film, EOS Entertainment, Rai Cinema, Österreichischer Rundfunk (ORF), Constantin Film Produktion, Westdeutscher Rundfunk (WDR), Norddeutscher Rundfunk (NDR)",92180910
9679,"Cameo Film- und Fernsehproduktion, Kunsthochschule für Medien Köln (KHM)",0
9680,"Rogue Pictures, Why Not Productions, Liaison Films, Biscayne Pictures",35294470
9681,"Columbia Pictures, Revolution Studios, Cube Vision",97918663
9682,"Boll Kino Beteiligungs GmbH & Co. KG, Brightlight Pictures, Herold Productions, Lionsgate, Infogrames Entertainment",10442808
9683,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Josephson Entertainment, MBC Beteiligungs Filmproduktion",122644820
9684,"Walt Disney Pictures, Walden Media",0
9685,"Ghost House Pictures, Senator International, Screen Gems, Pacific Renaissance Pictures Ltd.",67192859
9686,"26 Films, Gold Circle Films, Visionview Production",47175038
9687,WT2 Productions,0
9688,"Bandai Visual Company (JAPAN), Dare mo Shiranai Seisaku Iinkai, Engine Films, c-style",0
9689,Yari Film Group,0
9690,TriStar Pictures,0
9691,"Lawrence Turman Films, Inc.",0
9692,Compton Films,0
9693,,0
9694,Columbia Pictures,0
9695,Frank Ross-Norma Krasna Inc.,0
9696,"NBC, Hallmark Entertainment, Babelsberg International Film Produktion",0
9697,,0
9698,Paragon Film Group,0
9699,Warner Bros. Television,0
9700,"Westdeutscher Rundfunk (WDR), Albatros Filmproduktion, Trio Films, Filmverlag der Autoren, Fengler Films, Tango Film",0
9701,"Filmverlag der Autoren, Tango Film",0
9702,Paramount Pictures,0
9703,RKO Radio Pictures,0
9704,"Ether Films, Ronnoco Productions, black & white pictures, tony montana films",0
9705,"Filmsonor, Titanus, Play Art",0
9706,"Werner Herzog Filmproduktion, Canal+, Première",0
9707,Werner Herzog Filmproduktion,0
9708,Gramercy Pictures,2341309
9709,Orion Pictures,5935269
9710,,0
9711,"Studio Hamburg Letterbox Filmproduktion, Tele München Fernseh Produktionsgesellschaft (TMG)",0
9712,Robert et Raymond Hakim,0
9713,"Del Duca Films, Antares Produzione Cinematografica",0
9714,Don Hartman Productions,0
9715,"Channel Four Films, Merchant Ivory Productions",184890
9716,"Michael White Productions, Film Four International, Merchant Ivory Productions, Master Productions, Cinecom Pictures",346297
9717,,0
9718,Shanghai Film Studios,0
9719,"Curb Entertainment, Over Easy Productions",0
9720,"Samuel Bronston Productions, Dear Film Produzione",0
9721,"Lakeshore Entertainment, Polygram Filmed Entertainment",86175
9722,"New Century Producers, Itami Productions",0
9723,Millennium Pictures,0
9724,"Warner Bros., Pan Arts",0
9725,Paramount Pictures,0
9726,Indecom Cinema,0
9727,"SVT Drama, Sandrews, Svenska Filminstitutet (SFI), Poj Filmproduktion AB",0
9728,Twentieth Century Fox Film Corporation,0
9729,"Studio Ghibli, Buena Vista Home Entertainment, Mitsubishi, d-rights, Tohokushinsha Film Corporation",234710455
9730,"Bandai Visual Company, Sunrise, Studio 4°C",0
9731,Golden Harvest Pictures,0
9732,"Golden Harvest Company, Film Workshop",0
9733,,41
9734,,0
9735,"Columbia Pictures Corporation, Overbrook Entertainment",368100420
9736,Walt Disney Pictures,0
9737,,653621
9738,,0
9739,,0
9740,"Village Roadshow Pictures, DC Comics, Lonely Film Productions GmbH & Co. KG., Donners' Company, Branded Entertainment/Batfilm Productions, Weed Road Pictures, 3 Art Entertainment, Di Bonaventura Pictures, Warner Bros.",230884728
9741,"New Line Cinema, Pathé Distribution",0
9742,Twentieth Century Fox Film Corporation,32645546
9743,"Bac Films, Mij Film Co.",0
9744,GMM Pictures Co.,0
9745,Landing Patch Productions,0
9746,Wheel Productions,0
9747,Kennesset Productions,0
9748,,0
9749,United Artists,4100000
9750,Twentieth Century Fox Film Corporation,0
9751,"Yleisradio (YLE), Solar Films inc.",0
9752,,0
9753,,0
9754,"Bazelevs Production, Channel One Russia, TABBAK, The First Channel",32000000
9755,"Alquimia Cinema, Arcane Pictures",0
9756,,0
9757,First Run Features,0
9758,Hal Roach Studios,0
9759,Hal Roach Studios,0
9760,Paramount Pictures,0
9761,Atmo Media Network,0
9762,"Revolution Studios, Bel Air Entertainment",0
9763,Paramount Pictures,11500000
9764,Columbia Pictures,100914445
9765,Tohokushinsha Film,0
9766,,0
9767,New World Pictures,4662137
9768,Sony Picture Imageworks,0
9769,Prayer Flag Pictures,0
9770,"Dor Film Produktionsgesellschaft GmbH, Ceská Televize, Österreichischer Rundfunk (ORF), Barrandov Studios, Total HelpArt T.H.A., ALEF Film & Media Group",0
9771,"Paramount Pictures, Full Moon Entertainment, Moonbeam Entertainment",0
9772,"Universal Pictures, Dark Horse Entertainment, Largo Entertainment, JVC Entertainment Networks",8403433
9773,Warner Bros.,0
9774,"Universal Pictures, Herbert Ross Productions",0
9775,"Film Trust S.A., Alexander Salkind",0
9776,Twentieth Century Fox Film Corporation,0
9777,"Sandrews, Argos Films, Svensk Filmindustri (SF), Anouchka Films",0
9778,Twentieth Century Fox Film Corporation,0
9779,London Film Productions,0
9780,Televisión Española (TVE),0
9781,Sabre Film Productions Ltd.,0
9782,"Café Film, Bonfire",0
9783,Neshane,0
9784,,0
9785,"Interlight, Green Moon Productions",0
9786,"Valoria Films, Fida cinematografica",0
9787,"Produzione Salvo D'Angelo, Tevere Film",0
9788,"Plata Films S.A., Interfilme",0
9789,"Les Productions Fox Europa, Les Films du Siècle",0
9790,Paramount Pictures,0
9791,"Zentropa Entertainments, Nordisk Film, Memfis Film, Film i Väst, Svenska Filminstitutet (SFI), SVT Drama, Göteborg",0
9792,,0
9793,Lions Gate Films,0
9794,"Craven-Maddalena Films, Outerbanks Entertainment, Dimension Films, Kalis Productions GmbH & Co. Zweite KG",19294901
9795,,0
9796,,0
9797,"Walt Disney Pictures, Spyglass Entertainment",113006880
9798,"Double Feature Films, Jersey Films, Nina Saxon Film Design, Metro-Goldwyn-Mayer (MGM)",95226116
9799,Nomados Film,0
9800,"Lama Films, United King Films",0
9801,"Miramax Films, Cheyenne Enterprises, Yari Film Group, Stratus Film Co., Syndicate Films International, Equity Pictures Medienfonds GmbH & Co. KG II, Hostage GmbH",77944725
9802,"Blue Sky Studios, Twentieth Century Fox Animation",260696994
9803,Twentieth Century Fox Film Corporation,0
9804,,212483
9805,"Twentieth Century Fox Film Corporation, Interscope Communications",0
9806,Universal Pictures,0
9807,"Epic Productions, Stone Group Pictures",0
9808,"Replay Pictures, Empera Pictures, Imageworks Entertainment International",0
9809,Toho,0
9810,Toho Film (Eiga) Co. Ltd.,0
9811,Cannon Group,0
9812,,0
9813,Interlight,0
9814,,0
9815,Films A2,0
9816,,0
9817,,0
9818,"Eurimages, Televisión Española (TVE), Etb (Euskal Telebista), Canal+ España, Albarès Productions, José María Lara, Sur Films",0
9819,,0
9820,"France 2 Cinéma, Alia Films, Instituto Português da Arte Cinematográfica e Audiovisual (IPACA)",0
9821,Midfield Films,48000
9822,"Twentieth Century Fox Film Corporation, Dino de Laurentiis Cinematografica, International Classics",0
9823,Jerry Wald Productions,0
9824,"Twentieth Century Fox Film Corporation, Pantheon Entertainment Corporation, William Goldman Productions",0
9825,Columbia Pictures,0
9826,"Twentieth Century Fox Film Corporation, Hanna-Barbera Productions",6582052
9827,"Paramount Pictures, Ivan Tors Productions",0
9828,"Paramount Pictures, Hal Wallis Productions",0
9829,Columbia Pictures,0
9830,Columbia Pictures Corporation,0
9831,"Bryna Productions, Richard Quine Productions",0
9832,"Bizibi, Canal+, Transfax Film Productions",0
9833,"Cabezahueca, Esperanto Filmoj, Tequila Gang",299261
9834,,0
9835,Batjac Productions,11000000
9836,Nouvelles Éditions de Film,263404
9837,Benedict Bogeaus Production,0
9838,"Bandaï Media Department, Shochiku-Fuji Company",1960
9839,,0
9840,Screen Gems Television,0
9841,"BAV Film, United Producers",0
9842,"Mad Circus Films, Lions Gate Entertainments, Mr. X",0
9843,Aries [jp],0
9844,National Film Board of Canada (NFB),0
9845,,0
9846,Twentieth Century Fox Film Corporation,0
9847,Sidus Pictures,0
9848,"Ugly Duckling Films, Fine & Mellow Productions",0
9849,,0
9850,Metro-Goldwyn-Mayer (MGM),0
9851,Solar Films inc.,0
9852,Metro-Goldwyn-Mayer (MGM),0
9853,"Tobis Filmkunst, Nero-Film AG",0
9854,"Isle of Man Film Commission, Studio Hamburg WorldWide Pictures",0
9855,"Walt Disney Pictures, Bridget Johnson Films, Skate Away Productions",27645491
9856,"Fox Searchlight Pictures, Gravier Productions",20085825
9857,,0
9858,"Village Roadshow Pictures, Castle Rock Entertainment, Fortis Films",0
9859,"Columbia Pictures, Regency Enterprises, 3 Arts Entertainment, Tall Trees Productions",68915888
9860,"Destination Films, Andrea Sperling Productions, Screen Gems, Anonymous Content",0
9861,,0
9862,,0
9863,Oriental International Films,0
9864,,0
9865,"Universal Pictures, United Artists",0
9866,Image Ten,7185518
9867,"Archer Street Productions, IsFilm, Hope & Glory Film Productions GmbH, Hope & Glory Pictures International, Hope & Glory Pictures",0
9868,"Tornasol Films S.A., Artear, Mandala Films",0
9869,,6804016
9870,"Howard Productions, Samuel Goldwyn Company, The",0
9871,"Samuel Goldwyn Company, The",0
9872,"Samuel Goldwyn Company, The",0
9873,,0
9874,Warner Bros.,0
9875,Howard Productions,0
9876,Twentieth Century Fox Film Corporation,0
9877,Twentieth Century Fox Film Corporation,0
9878,"Nouvelles Éditions de Films (NEF), Franz Seitz Filmproduktion",0
9879,Metro-Goldwyn-Mayer (MGM),0
9880,Warner Brothers/Seven Arts,0
9881,"Tony DiDio Productions, Cal-Am Productions",0
9882,Takarazuka Eiga Company Ltd.,0
9883,Fondo de Fomento a la Calidad Cinematográfica,0
9884,"Televisión Española TVE, Etb (Euskal Telebista), Canal+ España, Alan Young Pictures, Panico Films",0
9885,,0
9886,Golden Harvest Productions,0
9887,"IRS Media, Transatlantic Entertainment",0
9888,,0
9889,"Sara Films, Set Satellite",0
9890,Warner Bros.,7788597
9891,"Imagine Entertainment, Universal Pictures",13145977
9892,"Televisión Española (TVE), Emiliano Piedra",0
9893,"Studio Ghibli, Buena Vista Home Entertainment, Hakuhodo DY Media Partners",0
9894,Studio Ghibli,0
9895,Touchstone,0
9896,,0
9897,Paramount Pictures,0
9898,,0
9899,"The Film Works, Manitoba Film & Sound Development Corporation",0
9900,Paramount Pictures,0
9901,,0
9902,"Magnolia Pictures, Gugat Films, Chinagraph",0
9903,,0
9904,"Jowoo Entertainment, Tube Entertainment",0
9905,Julian Wintle/Leslie Parkyn Productions,0
9906,"Union Film Company, International Film Company, Lian Bang",0
9907,"In-Cine Compania Industrial Cinematografica, Northern, Walker Films Limited",257043
9908,,0
9909,,0
9910,"Franco London Films, Rizzoli Film, Indusfilms",0
9911,,0
9912,The Harold Lloyd Corporation,0
9913,"Bandai Visual Company, Shochiku Company, Studio 4°C, Kodamsha Co.",0
9914,"Toho Company, United Productions of America (UPA)",0
9915,Melodrama Pictures,0
9916,"Janus Films, Kingsgate Films, MMC Independent, ApolloMedia Distribution, Gemini Film",0
9917,,0
9918,"Elevation Filmworks, Initial Entertainment Group (IEG), IFC Productions, Jack and Rose Productions",712294
9919,"Dimension Films, Troublemaker Studios, Miramax",158733820
9920,Metro-Goldwyn-Mayer (MGM),36351350
9921,,0
9922,,0
9923,"Paramount Pictures, Bristol Bay Productions, Baldwin Entertainment Group, Desertlands Entertainment, Mace Neufeld Productions, Kanzaman, J.K. Livin Productions, Moguletta, Sahara Productions, Babelsberg Film",119269486
9924,"Fox 2000 Pictures, Wildgaze Films, Alan Greenspan Productions, Mars Media Beteiligungs, Flower Films (II), ELC Productions Ltd.",50451307
9925,,0
9926,"Konwiser Brothers, Changchun Film Studio, Dark Forest",0
9927,"Scotti Brothers Pictures, International Video Entertainment (IVE)",0
9928,"arena Films, France2 Cinéma, France3 Cinéma",0
9929,"American Broadcasting Company (ABC), Security Pictures, Cinerama Productions Corp.",0
9930,Twentieth Century Fox Film Corporation,21435321
9931,"United Artists, Guercio-Hitzig",0
9932,,0
9933,"Compagnia Cinematografica Champion, Canafox Films",110
9934,"RKO Radio Pictures, Jean-Renoir- Dudly Nichols Productions",0
9935,The Foul King 2000,0
9936,"Société Radio-Canada, National Film Board of Canada, Canadian Broadcasting Corporation (CBC)",0
9937,"Les Productions du Champ Poirier, TPS Cinéma, TF1 Films Production, Téléma",0
9938,"National Lampoon Productions, Winston Davis and Associates",527000
9939,Millennium Films,0
9940,,0
9941,Metro-Goldwyn-Mayer (MGM),0
9942,"Tigon British Film Productions, Chilton Films",0
9943,,0
9944,"New World Pictures, HPS Productions",0
9945,Bae Yong-kyun Productions,0
9946,"Channel Four Films, BBC Radio 3, Arts Council of Great Britain",1718328
9947,"Films 21, Mars International Productions, Ectafilms",0
9948,"Les Productions Artistes Associés, Produzioni Europee Associati (PEA), Europee Associate SAS",0
9949,"Warner Bros., Cinerama Productions Corp., United States Pictures",0
9950,,0
9951,"Braun Entertainment Group, Filmel, Carnelian Productions, ICL",0
9952,"United Artists, Les Productions Artistes Associés, Produzioni Europee Associati (PEA)",0
9953,Nautilus Productions,0
9954,"Arco Film, Somafis",0
9955,,0
9956,Zentropa Entertainments,0
9957,Clemi Cinematografica,0
9958,Gabriel Pascal Productions,0
9959,,0
9960,The Mirisch Corporation,34562222
9961,Metro-Goldwyn-Mayer (MGM),0
9962,,0
9963,"Film Duemila, Federiz, The Criterion Collection",0
9964,"Albatros Filmproduktion, Trio Film",0
9965,Deutsche Film-Gemeinschaft,0
9966,"Hom-AG für Filmfabrikation, Pabst-Film",0
9967,"Zespól Filmowy ""Kadr""",0
9968,Chapman/Leonard Studio Equipment,0
9969,Republic Pictures,0
9970,"Paradis Films, Classic, Nisarga",0
